爸爸 ba4ba5 "(informal) father"
字幕 zi4mu4 "caption; subtitle"
字母 zi4mu3 "letter (of the alphabet)"
姿势 zi1shi4 "posture; position"
自由 zi4you2 "freedom; liberty; free; unrestricted"
资源 zi1yuan2 "natural resource (such as water or minerals); resource (such as manpower or tourism)"
总裁 zong3cai2 "chairman; director-general (of a company etc)"
总理 zong3li3 "premier; prime minister"
总统 zong3tong3 "president (of a country)"
组 zu3 "to form; to organize; group; team; classifier for sets, series, groups of people, batteries"
作品 zuo4pin3 "work (of art); opus"
作文 zuo4wen2 "to write an essay; composition (student essay)"
组织 zu3zhi1 "to organize; organization; (biology) tissue; (textiles) weave"
