匕 bi3 "dagger; ladle"
箧 qie4 "chest; box; trunk; suitcase; portfolio"
箍 gu1 "hoop; to bind with hoops"
箸 zhu4 "(literary) chopsticks"
箬 ruo4 "(bamboo); skin of bamboo"
箅 bi4 "(bound form) bamboo grid for steaming food"
箪 dan1 "round basket for cooked rice"
箔 bo2 "plaited matting (of rushes, bamboo etc); silkworm basket; metal foil; foil paper"
箓 lu4 "record book; archive; taoist written charm; document of prophecy attesting to dynastic fortunes"
毓 yu4 "to rear"
僖 xi1 "cautious; merry; joyful"
儆 jing3 "to warn; to admonish"
僳 su4 "lisu ethnic group of yunnan"
僭 jian4 "(bound form) to overstep one's authority"
劁 qiao1 "to neuter livestock"
僮 tong2 "servant boy"
魃 ba2 "drought demon"
魆 xu4 "beguile; suddenly"
睾 gao1 "marsh; testicle"
艋 meng3 "small boat"
鄱 po2 "name of a lake"
膈 ge2 "diaphragm (anatomy)"
鲑 gui1 "trout; salmon"
鲔 wei3 "little tuna; euthynnus alletteratus"
鲚 ji4 "coilia nasus"
鲛 jiao1 "(bound form) shark"
鲟 xun2 "sturgeon; acipenser sturio"
獐 zhang1 "river deer; roebuck"
雒 luo4 "black horse with white mane; fearful"
夤 yin2 "late at night"
馑 jin3 "time of famine or crop failure"
銮 luan2 imperial
塾 shu2 "private school"
麽 mo2 "tiny; insignificant"
瘌 la4 "scabies; scald-head"
瘊 hou2 wart
瘘 lou4 "fistula; ulceration"
瘙 sao4 "itch; old term for scabies"
韶 shao2 "(music); excellent; harmonious"
旖 yi3 "fluttering of flag"
膂 lü3 "backbone; strength"
阚 kan4 "to glance; to peep"
鄯 shan4 "name of a district in xinjiang"
鲞 xiang3 "dried fish"
粿 guo3 "rice cake (typically made with glutinous rice flour and steamed)"
粼 lin2 "clear (as of water)"
粽 zong4 "rice dumplings wrapped in leaves"
糁 san3 "to mix (of powders)"
槊 shuo4 "long lance"
鹚 ci2 cormorant
熘 liu1 "quick-fry; sim. to stir-frying, but with cornstarch added"
熥 teng1 "to heat up (cooked food) by baking or steaming"
潢 huang2 "dye paper; lake; pond; mount scroll"
漕 cao2 "to transport (esp. grain) by water; (literary) watercourse; canal"
滹 hu1 "name of a river"
漯 ta4 "name of a river"
漶 huan4 "(of writing, pictures etc) indistinct due to deterioration (water damage etc); blurry; eroded"
潋 lian4 "full of water; trough"
潴 zhu1 "pool; pond"
漪 yi1 ripple
漉 lu4 "strain liquids"
漳 zhang1 "zhang river in fujian"
漩 xuan2 "whirlpool; eddy"
澉 gan3 "place name; wash"
潍 wei2 "name of a river"
慵 yong1 lethargic
搴 qian1 "to seize; to pull; to hold up the hem of clothes"
窨 xun1 "to scent tea with flowers"
窨 yin4 cellar
寤 wu4 "to awake from sleep"
綮 qi3 "embroidered banner"
谮 zen4 "to slander"
褡 da1 "pouch; sleeveless jacket"
褙 bei4 "paper or cloth pasted together"
褓 bao3 "cloth for carrying baby on back"
褛 lü3 "soiled; tattered"
褊 bian3 "narrow; urgent"
谯 qiao4 "ridicule; to blame"
谯 qiao2 "drum tower"
谰 lan2 "to make a false charge"
谲 jue2 deceitful
暨 ji4 "and; to reach to; the limits"
屣 xi3 slippers
鹛 mei2 "babbler (bird)"
嫣 yan1 "lovely; sweet"
嫱 qiang2 "female court officials"
嫖 piao2 "to visit a prostitute"
嫦 chang2 "a legendary beauty who flew to the moon; the lady in the moon"
嫚 man4 insult
嫡 di2 "first wife; son of first wife"
鼐 nai4 "incense tripod"
瞀 mao4 "indistinct vision; dim"
鹜 wu4 duck
骠 piao4 "white horse"
缥 piao3 "misty; indistinct"
缦 man4 "plain thin silk; slow; unadorned"
缧 lei2 "(literary) thick rope used to restrain a prisoner"
缨 ying1 "tassel; sth shaped like a tassel (e.g. a leaf etc); ribbon"
骢 cong1 "buckskin horse"
缪 mou2 "to wind round"
缪 miu4 error
缫 sao1 "to reel silk from cocoons"
耧 lou2 "drill for sowing grain"
瑾 jin3 "brilliancy (of gems)"
璜 huang2 "semicircular jade ornament"
璀 cui3 "luster of gems"
璎 ying1 necklace
璁 cong1 "stone similar to jade"
璇 xuan2 (jade)
皕 bi4 "two-hundred (rarely used); 200"
奭 shi4 "(literary) majestic; magnificent; (literary) rich, deep red; (literary) angry; furious"
髯 ran2 "beard; whiskers"
髫 tiao2 "(literary) hair hanging down in front (children's hairstyle)"
撷 xie2 "to collect"
撅 jue1 "to protrude; to stick out; to embarrass (people)"
赭 zhe3 ocher
撸 lu1 "to fire (an employee); to reprimand"
鋆 yun2 gold
撙 zun3 "to reduce or cut down on; to rein in; to restrain"
撺 cuan1 "rush; stir up; throw; fling; hurry; rage"
墀 chi2 courtyard
聩 kui4 "born deaf; deaf; obtuse"
觐 jin4 "(history) to have an audience with the emperor"
鞑 da2 "tartar; a tribe in china"
蕙 hui4 "coumarouna odorata"
鞒 qiao2 "the pommel and cantle of a saddle"
蕈 xun4 "mold; mushroom"
蕨 jue2 "pteridium aquilinum; bracken"
蕤 rui2 "fringe; overladen with flowers"
蕞 zui4 "to assemble; small"
蕺 ji2 "houttuynia cordata"
瞢 meng2 "eyesight obscured; to feel ashamed"
蕃 fan1 "foreign (non-chinese)"
蕃 fan2 "luxuriant; flourishing; to reproduce; to proliferate"
蕲 qi2 "(herb); implore; pray; place name"
赜 ze2 mysterious
槿 jin3 "hibiscus syriacus; transient"
樯 qiang2 "boom; mast"
槭 qi4 maple
樗 chu1 simaroubaceae
樘 cheng3 "a pillar"
樘 tang2 "pillar; door post; door or window frame; classifier for doors or windows"
槲 hu2 "mongolian oak (quercus dentata)"
醌 kun1 "quinone (chemistry)"
醅 pei1 "unstrained spirits"
靥 ye4 dimple
魇 yan3 "to have a nightmare"
餍 yan4 "to eat to the full"
磔 zhe2 "(literary) to dismember (form of punishment); to spread"
磙 gun3 "roller; to level with a roller"
霈 pei4 "torrent of rain"
辘 lu4 windlass
龉 yu3 "irregular teeth"
龊 chuo4 "dirty; filthy; base; mean; narrow-minded; petty"
觑 qu4 "to spy; watch for"
瞌 ke1 "to doze off; sleepy"
瞋 chen1 "to stare at angrily"
瞑 ming2 "to close (the eyes)"
噶 ga2 "phonetic ga (used in rendering tibetan and mongolian sounds); tibetan ge: language of buddha"
颙 yong2 "grand; majestic; just; stern"
暹 xian1 sunrise
噘 jue1 "to pout"
踔 chuo1 "to get ahead; to stride; to excel"
踝 huai2 ankle
踟 chi2 "hesitating; undecided; hesitant"
踒 wo1 "to slip and sprain a limb"
踬 zhi4 "to stumble"
踮 dian3 "to stand on tiptoe"
踯 zhi2 "hesitating; to stop"
踞 ju4 "to be based upon; to squat"
蝽 chun1 bedbug
蝾 rong2 salamander
蝻 nan3 "immature locusts"
蝮 fu4 insect
蝣 you2 "ephemera strigata"
嘬 zuo1 "(coll.) to suck"
嘬 chuai4 "(literary) to gnaw; to eat ravenously"
颚 e4 "jaw; palate"
噍 jiao4 "to chew"
噙 qin2 "to hold in (usually refers the mouth or eyes)"
噜 lu1 "grumble; chatter"
噌 ceng1 "to scold"
噌 cheng1 "sound of bells etc"
噔 deng1 thump
颛 zhuan1 "good; simple"
幞 fu2 "old form of turban"
幡 fan1 banner
嶙 lin2 "ranges of hills"
嶝 deng4 "path leading up a mountain"
骺 hou2 "(anatomy) epiphysis"
骼 ge2 skeleton
骸 hai2 "bones of the body"
镊 nie4 "tweezers; forceps; nippers; pliers; to nip; to pick up with tweezers; to pluck out"
镉 ge2 "cadmium (chemistry)"
镌 juan1 "to engrave (on wood or stone); to inscribe"
镍 nie4 "nickel (chemistry)"
镓 jia1 "gallium (chemistry)"
镔 bin1 "fine steel"
稷 ji4 "millet; minister of agriculture"
箴 zhen1 "to warn; to admonish"
篑 kui4 "basket for carrying soil"
篁 huang2 "(bamboo); bamboo grove"
篌 hou2 "(mus. instr.)"
篆 zhuan4 "seal (of office); seal script (a calligraphic style); writing in seal script"
牖 you3 "to enlighten; lattice window"
儋 dan1 carry
磐 pan2 "firm; stable; rock"
鹞 yao4 "sparrow hawk; accipiter nisus"
膘 biao1 "fat of a stock animal"
鲠 geng3 "to choke on a piece of food; to choke on a piece of food; (literary) a fish bone lodged in one's throat"
鲡 li2 eel
鲢 lian2 "hypophthalmichthys moritrix"
鲣 jian1 bonito
鲥 shi2 "shad; ilisha elongata"
鲩 huan4 carp
獗 jue2 "unruly; rude"
獠 liao2 "fierce; hunt; name of a tribe"
觯 zhi4 goblet
馔 zhuan4 "food; delicacies"
麾 hui1 "signal flag; to signal"
廛 chan2 "market place"
恝 jia2 indifferent
瘼 mo4 "distress; sickness"
瘢 ban1 "mark; scar on the skin"
瘠 ji2 "barren; lean"
齑 ji1 "finely chopped meat or vegetables; powdered or fragmentary"
羯 jie2 "jie people, a tribe of northern china around the 4th century; ram, esp. gelded; to castrate; deer's skin"
羰 tang1 "carbonyl (radical)"
𥻗 cha2 "(bound form) coarsely ground maize"
遴 lin2 "(literary) to select"
糌 zan1 "zanba, tibetan barley bread"
糍 ci2 "sticky rice cake"
糅 rou2 mix
熵 shang1 "entropy (character created in 1923)"
熠 yi4 "to glow; to flash"
澍 shu4 "moisture; timely rain"
澌 si1 "drain dry; to exhaust"
潸 shan1 tearfully
潦 lao3 "flooded; heavy rain"
潲 shao4 "driving rain; to sprinkle"
鋈 wu4 "-plated; to plate"
潟 xi4 "saline land; salt marsh"
潼 tong2 "high; name of a pass"
潺 chan2 "flow; trickle (of water)"
憬 jing3 awaken
憧 chong1 "irresolute; unsettled"
寮 liao2 "laos; hut; shack; small window"
窳 yu3 "bad; useless; weak"
谳 yan4 "to decide judicially"
褴 lan2 "ragged garments"
褟 ta1 "inner shirt; to sew onto clothing"
褫 chi3 "to strip; to deprive of; to discharge; to dismiss; to undress"
谵 zhan1 "(literary) to rant; to rave; to be delirious"
屦 ju4 sandals
勰 xie2 harmonious
戮 lu4 "to peel with a knife; to kill"
缬 xie2 "knot; tie a knot"
缮 shan4 "to repair; to mend; to rewrite; to transcribe"
缯 zeng1 "silk fabrics"
缯 zeng4 "to tie; to bind"
骣 chan3 "horse without saddle"
畿 ji1 "territory around the capital"
耩 jiang3 "to plow; to sow"
耨 nou4 "hoe; to hoe; to weed"
耪 pang3 "to hoe"
璞 pu2 "unpolished gem"
璟 jing3 "luster of gem"
靛 dian4 "indigo pigment"
璠 fan2 (gem)
璘 lin2 "luster of gem"
聱 ao2 "difficult to pronounce"
螯 ao2 "nippers; claw (of crab); chela; pincers; astacus fluviatilis"
髻 ji4 "hair rolled up in a bun, topknot"
髭 zi1 mustache
髹 xiu1 "red lacquer; to lacquer"
擀 gan3 "to roll (dough etc)"
熹 xi1 "bright; warm"
甏 beng4 "a squat jar for holding wine, sauces etc"
擞 sou3 "shake; trembling"
縠 hu2 "fine silk gauze"
颞 nie4 "bones of the temple (on the human head)"
蕻 hong4 "budding; flourishing"
鞘 qiao4 "scabbard; sheath"
颟 man1 dawdling
薤 xie4 "allium bakeri; shallot; scallion"
薨 hong1 "death of a prince; swarming"
檠 qing2 "instrument for straightening bows"
薮 sou3 "marsh; gathering place"
薜 bi4 "ficus pumila"
薅 hao1 "to weed; to grip or clutch"
樾 yue4 "shade of trees"
橛 jue2 "a peg; low post"
橇 qiao1 "sled; sleigh"
樵 qiao2 "firewood; gather wood"
檎 qin2 (fruit)
橹 lu3 "scull (single oar worked from side to side over the stern of a boat) (free word)"
樽 zun1 "goblet; bottle; wine-jar"
樨 xi1 "osmanthus fragrans"
橼 yuan2 "citrus medica"
墼 ji1 "(bound form) unfired brick; (bound form) briquette (made of coal etc)"
橐 tuo2 "sack; tube open at both ends"
翮 he2 quill
醛 quan2 aldehyde
醐 hu2 "purest cream"
醍 ti2 "essential oil of butter"
醚 mi2 ether
赝 yan4 false
殪 yi4 "to exterminate"
霖 lin2 "continued rain"
霏 fei1 "fall of snow"
霓 ni2 "secondary rainbow"
錾 zan4 "to engrave"
辚 lin2 "rumbling of wheels"
臻 zhen1 "to arrive; to reach (esp. perfection); utmost"
遽 ju4 "hurry; fast; suddenly"
氅 chang3 overcoat
瞟 piao3 "to cast a glance"
瞠 cheng1 "stare at sth beyond reach"
瞰 kan4 "to look down from a height; to spy on sth"
嚄 o3 "(interj. of surprise)"
嚆 hao1 "sound; noise"
噤 jin4 "unable to speak; silent"
暾 tun1 "sun above the horizon"
蹀 die2 "to tread on; to stamp one's foot"
踵 zhong3 "to arrive; to follow; heel"
踽 ju3 "hunchbacked; walk alone"
蹉 cuo1 "to error; to slip; to miss; to err"
蹁 pian2 "to limp"
螨 man3 mite
蟒 mang3 python
螈 yuan2 "salamander; newt"
螅 xi1 "(intestinal worm)"
螭 chi1 "dragon with horns not yet grown (in myth or heraldry)"
螠 yi4 "echiuroid (spoon worm)"
螟 ming2 "boring insect; snout moth's larva (aphomia gullaris or plodia interpuncuella or heliothus armigera etc), major agricultural pest"
噱 jue2 "loud laughter"
噬 shi4 "to devour; to bite"
噫 yi1 "yeah (interjection of approval); to belch"
噼 pi1 "child's buttocks (esp. cantonese)"
罹 li2 "happen to; sorrow; suffer from"
圜 huan2 "circle; encircle"
圜 yuan2 "circle; round"
镗 tang1 "noise of drums"
镘 man4 "side of coin without words; trowel"
镚 beng4 "small coin; dime"
镛 yong1 "large bell"
镝 di1 "dysprosium (chemistry)"
镞 zu2 "arrowhead; sharp"
镠 liu2 "fine gold"
氇 lu3 "thick rough serge from tibet"
氆 pu3 "thick rough serge from tibet"
憩 qi4 "to rest"
穑 se4 "gather in harvest"
篝 gou1 "bamboo frame for drying clothes; bamboo cage"
篥 li4 "bamboos good for poles; horn"
篦 bi4 "fine-toothed comb; to comb"
篪 chi2 "bamboo flute with 7 or 8 holes"
篙 gao1 "pole for punting boats"
盥 guan4 "to wash (especially hands)"
劓 yi4 "cut off the nose"
魉 liang3 "sprite; fairy"
魈 xiao1 "elf; demon"
徼 jiao4 "boundary; to go around"
徼 jiao3 "by mere luck"
歙 she4 "name of a district in anhui"
膳 shan4 meals
膦 lin4 phosphine
膙 jiang3 "(bound form) callus"
鲮 ling2 "mud carp (cirrhina molitorella)"
鲱 fei1 "pacific herring"
鲲 kun1 "fry (newly hatched fish)"
鲴 gu4 "xenocypris, genus of cyprinid fish found in eastern asia"
鲵 ni2 "cryptobranchus japonicus; salamander"
鲷 diao1 "porgy; pagrus major"
鲻 zi1 mullet
獴 meng3 mongoose
獭 ta3 otter
邂 xie4 "to meet unexpectedly"
鹧 zhe4 "partridge; francolinus chinensis"
廨 xie4 office
赟 yun1 "good appearance"
瘰 luo3 "scrofula; tuberculosis of glands"
廪 lin3 "government granary"
瘿 ying3 "goiter; knob on tree"
瘵 zhai4 "focus of tubercular infection"
瘴 zhang4 "malaria; miasma"
癃 long2 "infirmity; retention of urine"
瘳 chou1 "to convalesce; to recover; to heal"
麇 jun1 "hornless deer"
麇 qun2 "(literary) in large numbers; thronging"
麈 zhu3 "leader of herd; stag"
壅 yong1 "to obstruct; to stop up; to heap soil around the roots of a plant"
瞥 pie1 "to shoot a glance; glance; to appear in a flash"
甑 zeng4 "cauldron; rice pot"
燎 liao2 "to burn; to set afire"
燎 liao3 "to singe"
燠 yu4 warm
燔 fan2 "burn; to roast meat for sacrifice"
燧 sui4 "fire; speculum; to obtain fire by drilling wood, striking flint, sun's rays etc"
濉 sui1 "name of a river"
潞 lu4 "name of a river"
澹 dan4 "tranquil; placid; quiet"
澥 xie4 "(of porridge etc) to become watery"
澶 chan2 "still (as of water); still water"
濂 lian2 "name of a river in hunan"
褰 qian1 "to lift (clothes, sheets); lower garments"
寰 huan2 "large domain; extensive region"
窸 xi1 "disturbing noises"
褶 zhe3 "pleat; crease"
禧 xi3 joy
嬖 bi4 "(treat as a) favorite"
犟 jiang4 "obstinate; tenacious; unbending; pig-headed"
隰 xi2 "low; marshy land"
嬗 shan4 "(literary) to go through successive changes; to evolve"
颡 sang3 "(literary) forehead"
缱 qian3 "attached to; loving"
缲 qiao1 "hem with invisible stitches"
缲 sao1 "to reel silk from cocoons"
缳 huan2 "to bind; to tie; lace; noose (for suicide); hangman's noose"
璨 can4 "gem; luster of gem"
璩 qu2 "(jade ring)"
璐 lu4 "beautiful jade"
璪 zao3 "pendant of pearls on coronet"
螫 shi4 "(literary) (of a bee or spider etc) to sting or bite"
螫 zhe1 "(of a bee or spider etc) to sting or bite; (of an irritant) to make (one's eyes or skin) sting"
擤 xing3 "to blow (one's nose)"
壕 hao2 "moat; (military) trench"
觳 hu2 frightened
罄 qing4 "to use up; to exhaust; empty"
擢 zhuo2 "to pull out; to select; to promote"
薹 tai2 "carex dispalatha"
鞡 la5 "leg warmer"
鞬 jian1 "a quiver on a horse; a store"
薷 ru2 "elshotria paltrini"
薰 xun1 "sweet-smelling grass; coumarouna odorata; tonka beans; coumarin"
藓 xian3 "moss; lichen; moss on damp walls"
檄 xi2 "dispatch; order"
檩 lin3 "cross-beam; ridge-pole"
楙 mao4 "cydonia japonica"
懋 mao4 "to be hardworking; luxuriant; splendid"
醢 hai3 "minced meat; pickled meat"
翳 yi4 "feather screen; to screen; to shade; cataract"
礅 dun1 "stone block"
磴 deng4 "cliff-ledge; stone step"
鹩 liao2 "eastern wren"
龋 qu3 "decayed teeth; dental caries"
龌 wo4 "dirty; small-minded"
壑 he4 "gully; ravine"
黹 zhi3 embroidery
疐 zhi4 prostrate
嚏 ti4 sneeze
嚅 ru2 chattering
蹑 nie4 "to walk on tiptoe; to walk quietly; to tread (on); to follow"
蹒 pan2 limp
蹊 xi1 footpath
蟥 huang2 horse-leech
螬 cao2 "larva of mimela lucidula"
螵 piao1 "nest of eggs of mantis"
疃 tuan3 "village; animal track"
螳 tang2 "praying mantis"
蟑 zhang1 cockroach
嚓 ca1 "ripping of fabric; screeching of tires"
羁 ji1 "bridle; halter; to restrain; to detain; to lodge; inn"
罽 ji4 "(fishing net); woolen rug"
罾 zeng1 "large square net"
嶷 yi2 "name of a mountain in hunan"
黜 chu4 "to dismiss from office; to expel"
黝 you3 "black; dark green"
髁 ke1 condyles
髀 bi4 "buttocks; thigh"
镡 xin2 "guard (on a sword handle); pommel (on a sword handle); dagger"
镣 liao4 "fetters; leg-irons; shackles"
镦 dun1 "upsetting (forged pieces)"
镧 lan2 "lanthanum (chemistry)"
镩 cuan1 "ice spud (aka ice chisel) with a pointy tip; to break a hole in ice (for ice fishing etc) using an ice spud"
镪 qiang3 "money; string of coins"
镪 qiang1 "sulfuric acid"
镫 deng4 stirrup
罅 xia4 "crack; grudge"
簌 su4 "dense vegetation; sieve"
篾 mie4 "bamboo splints for baskets"
篼 dou1 "bamboo, rattan or wicker basket"
簖 duan4 "bamboo fish trap"
簋 gui3 "round basket of bamboo"
鼢 fen2 (mole)
儡 lei3 "to injure; puppet"
鹪 jiao1 "eastern wren"
鼾 han1 "snore; to snore"
皤 po2 white
魍 wang3 "elf; sprite"
繇 zhou4 "interpretations of the trigrams"
繇 you2 "cause; means"
繇 yao2 "folk-song; forced labor"
貘 mo4 tapir
邈 miao3 "profound; remote"
臌 gu3 "dropsical; swollen"
膻 shan1 "a flock of sheep (or goats); rank odor (of sheep or goats)"
臆 yi4 "(bound form) chest; breast; inner feelings; subjective"
鲼 fen4 "any ray (fish) variety of myliobatiformes order"
鲽 die2 "flatfish; flounder; sole"
鳀 ti2 anchovy
鳃 sai1 "gills of fish"
鳅 qiu1 loach
鳇 huang2 sturgeon
鳊 bian1 bream
螽 zhong1 "(grasshopper); gompsocleis mikado"
燮 xie4 "to blend; to adjust; to harmonize; harmony"
鹫 jiu4 vulture
糜 mei2 millet
糜 mi2 "rice gruel; rotten; to waste (money)"
縻 mi2 "to tie up"
膺 ying1 "breast; receive"
癍 ban1 "abnormal pigment deposit on the skin"
麋 mi2 "moose; river bank"
懑 men4 melancholy
濡 ru2 "dilatory; to moisten"
濮 pu2 "name of a river"
濠 hao2 trench
濯 zhuo2 "to wash; to cleanse of evil"
蹇 jian3 "lame; cripple; unfortunate; slow; difficult; nag (inferior horse); donkey; lame horse"
謇 jian3 "to speak out boldly"
邃 sui4 "deep; distant; mysterious"
襁 qiang3 "string of copper coins; cloth for carrying baby on back"
檗 bo4 "phellodendron amurense"
擘 bo4 "thumb; to break; to tear; to pierce; to split"
孺 ru2 child
隳 hui1 "destroy; overthrow"
蟊 mao2 "spanish fly; grain-eating grub"
鹬 yu4 "common snipe; sandpiper"
鍪 mou2 "iron pot; metal cap"
鏊 ao4 "griddle; tava"
鳌 ao2 "mythological sea turtle"
鬈 quan2 "to curl; curled"
鬃 zong1 "bristles; horse's mane; disheveled hair; horse's mane"
瞽 gu3 "blind; undiscerning"
鞯 jian1 "saddle blanket"
鞨 he2 "buskin; name of a tribe; turban"
鞫 ju1 "to interrogate; to question"
鞧 qiu1 "crupper; leather strap; to shrink"
鞣 rou2 "suede; chamois; tannin; to tan"
藜 li2 "name of weed plant (fat hen, goosefoot, pigweed etc); chenopodium album"
藩 fan1 "fence; hedge; (literary) screen; barrier; vassal state"
醪 lao2 "wine or liquor with sediment"
蹙 cu4 "to knit (one's brows); wrinkled (of brows); to hesitate; distressed"
礓 jiang1 "a small stone"
燹 xian3 conflagration
餮 tie4 gluttonous
瞿 qu2 startled
曛 xun1 "twilight; sunset"
颢 hao4 "(literary) white and shining"
曜 yao4 "bright; glorious; one of the seven planets of premodern astronomy"
躇 chu2 "to hesitate"
蹚 tang1 "to wade; to trample"
鹭 lu4 heron
蟛 peng2 "(land-crab); grapsus sp."
蟪 hui4 "(cicada); platypleura kaempferi"
蟠 pan2 "to coil"
鹮 huan2 "spoonbill; ibis; family threskiornithidae"
黠 xia2 "(phonetic); crafty"
黟 yi1 "black and shining ebony"
髅 lou2 skull
髂 qia4 "ilium; outermost bone of the pelvic girdle"
镭 lei2 "radium (chemistry)"
镯 zhuo2 bracelet
馥 fu4 "fragrance; scent; aroma"
簟 dian4 "fine woven grass mat"
簪 zan1 hairpin
雠 chou2 "to collate; to proofread"
鳎 ta3 "sole (fish)"
鳏 guan1 widower
鳐 yao2 "skate (cartilaginous fish belonging to the family rajidae); ray (fish)"
癞 lai4 "scabies; skin disease"
癜 dian4 "erythema; leucoderm"
糨 jiang4 "(of soup, paste etc) thick"
蹩 bie2 "to limp; to sprain (an ankle or wrist); to move carefully, as if evading a danger; to scurry"
懵 meng3 stupid
彝 yi2 "yi ethnic group; normal nature of man; laws and rules"
鬏 jiu1 "bun (of hair)"
攉 huo1 "to shovel"
鞴 bei4 "to saddle a horse"
藿 huo4 "lophanthus rugosus; beans"
蘧 qu2 "dianthus superbus"
蘅 heng2 "asarum blumei (wild ginger plant)"
麓 lu4 "foot of a hill"
醮 jiao4 "to perform sacrifice"
醯 xi1 acyl
酃 ling2 "name of a district in hunan"
霪 yin2 "heavy rain"
霭 ai3 "mist; haze; cloudy sky"
霨 wei4 "rising of clouds"
蹰 chu2 "irresolute; undecided"
蹶 jue2 "to stumble; to trample; to kick (of horse)"
蹽 liao1 "to run; to slip away; to stride"
蹼 pu3 "web (of feet of ducks, frogs etc)"
蹴 cu4 "carefully; to kick; to tread on; to stamp"
蹾 dun1 "(coll.) to put sth down heavily; to plonk"
蹿 cuan1 "to leap up; (coll.) to gush out; to spurt out"
蠖 huo4 "looper caterpillar"
蠓 meng3 "grasshopper; midge; sandfly"
蟾 chan2 "(mythology) the three-legged toad said to exist in the moon; (metonym) the moon"
蠊 lian2 cockroach
黢 qu1 "black; dark"
髋 kuan1 "pelvis; pelvic"
髌 bin4 "kneecapping; to cut or smash the kneecaps as corporal punishment"
镲 cha3 "small cymbals"
籀 zhou4 "(literary) seal script used throughout the pre-han period; to recite; to read (aloud)"
籁 lai4 "a sound; a noise; musical pipe with 3 reeds"
齁 hou1 "to snore; thirsty from excessively salty or sweet food; extremely"
魑 chi1 "mountain demon"
鳓 le4 "chinese herring (ilisha elongata); white herring; slender shad"
鳔 biao4 "swim bladder; air bladder of fish"
鳕 xue3 "codfish; gadus macrocephalus"
鳗 man2 "eel; anguilla lostoniensis"
麒 qi2 "mythical male unicorn"
鏖 ao2 "violent fighting"
羸 lei2 "entangled; lean"
瀚 han4 "ocean; vastness"
瀣 xie4 "mist; vapor"
瀛 ying2 ocean
襦 ru2 "jacket; short coat"
谶 chen4 "prophecy; omen"
襞 bi4 "creases; folds or pleats in a garment"
骥 ji4 "thoroughbred horse; refined and virtuous"
缵 zuan3 "(literary) to inherit"
瓒 zan4 "libation cup"
攘 rang3 "(literary) to push up one's sleeves; (literary) to reject; to resist; (literary) to seize; to steal; (literary) to perturb"
蘩 fan2 "artemisia stellariana"
蘖 nie4 "new shoot growing from cut branch or stump"
醴 li3 "sweet wine"
霰 xian4 "graupel; snow pellet; soft hail"
酆 feng1 "zhou dynasty capital"
矍 jue2 "to glance fearfully"
曦 xi1 "(literary) sunlight (usu. in early morning)"
躅 zhu2 "walk carefully; to hesitate; to halter"
鼍 tuo2 "chinese alligator (alligator sinensis)"
巉 chan2 cliff
黩 du2 "blacken; constantly; to insult"
黥 qing2 "to tattoo criminals on the face or forehead"
黪 can3 "dark; dim; gloomy; bleak"
镳 biao1 "bit (of a bridle)"
镴 la4 "solder; tin"
黧 li2 "dark; sallow color"
纂 zuan3 "(literary) to compile; to edit; (coll.) (hairstyle) bun; red silk ribbon"
璺 wen4 "a crack (in porcelain, glassware etc)"
鼯 wu2 "flying squirrel"
鳜 gui4 "mandarin fish; chinese perch (siniperca chuatsi)"
鳝 shan4 "chinese yellow eel"
鳟 zun1 "trout; barbel"
獾 huan1 badger
孀 shuang1 widow
骧 xiang1 "(literary) to run friskily (of a horse); to raise; to hold high"
瓘 guan4 "jade used for making goblets"
鼙 pi2 "drum carried on horseback"
醺 xun1 "helplessly intoxicated"
礴 bo2 "to fill; to extend"
颦 pin2 "to scowl; to knit the brows"
曩 nang3 "in former times"
鳢 li3 "snakefish; snakehead mullet"
癫 dian1 "mentally deranged; crazy"
麝 she4 "musk deer (moschus moschiferus)"
夔 kui2 "one-legged mountain demon of chinese mythology; chinese mythical figure who invented music and dancing; chinese rain god"
爝 jue2 torch
灏 hao4 "vast (of water)"
禳 rang2 "sacrifice for avoiding calamity"
鐾 bei4 "to sharpen (a knife) on a stone or a strop"
羼 chan4 "to mix; to blend; to dilute; to adulterate"
蠡 li3 "wood-boring insect"
蠡 li2 calabash
懿 yi4 "(literary) exemplary; virtuous"
蘸 zhan4 "to dip in (ink, sauce etc)"
鹳 guan4 "crane; stork"
霾 mai2 haze
氍 qu2 "woolen rug"
饕 tao1 gluttonous
躐 lie4 "step across"
髑 du2 skull
镵 chan2 "sharp instrument for digging"
穰 rang2 "abundant; stalk of grain"
饔 yong1 "(literary) cooked food; breakfast"
鬻 yu4 "to sell, esp. in strained circumstances"
鬟 huan2 "a knot of hair on top of head"
趱 zan3 "to hasten; to urge"
攫 jue2 "to seize; to snatch; to grab"
攥 zuan4 "(coll.) to hold; to grip; to grasp"
颧 quan2 "cheek bones"
躜 zuan1 "to jump"
鼹 yan3 mole
癯 qu2 "thin; emaciated; worn; tired"
麟 lin2 "female unicorn"
蠲 juan1 "to deduct; to show; bright and clean; glow-worm; galleyworm; millipede"
蠹 du4 "insect that eats into books, clothing etc; moth-eaten; worm-eaten"
躞 xie4 "to walk"
衢 qu2 thoroughfare
灞 ba4 "name of a river"
襻 pan4 "loop; belt; band; to tie together; to stitch together"
纛 dao4 "big banner; feather banner or fan"
鬣 lie4 "bristles; mane"
攮 nang3 "to fend off; to stab"
囔 nang1 "muttering, indistinct speech"
馕 nang3 "to stuff one's face; to eat greedily"
馕 nang2 "a kind of a flat bread"
戆 zhuang4 "simple; honest"
爨 cuan4 "cooking-stove; to cook"
齉 nang4 "stuffy (nose); nasal (voice)"
𠙶 ou3 "(name of a mountain)"
邘 yu2 "place name"
圢 ting3 "flat; level"
