我,wo3,i; me; my
流年,liu2nian2,fleeting time; horoscope for the year
流弊,liu2bi4,malpractice; long-running abuse
流弹,liu2dan4,stray bullet
流形,liu2xing2,manifold (math.)
流播,liu2bo1,to circulate; to hand around
流放,liu2fang4,to exile; to banish; to deport; to float (logs) downstream
流于,liu2yu2,to change (for the worse)
流明,liu2ming2,lumen (unit of light flux) (loanword)
流星,liu2xing1,meteor; shooting star
流标,liu2biao1,(of an auction) to be inconclusive
流毒,liu2du2,to spread poison; pernicious influence
流民,liu2min2,refugee
流汗,liu2han4,to sweat
流沙,liu2sha1,quicksand
流泆,liu2yi4,to indulge; licentious
流派,liu2pai4,tributary (stream); (fig.) school (of thought); genre; style
流泻,liu2xie4,to flow; to flood
流产,liu2chan3,to have a miscarriage; miscarriage; to fail; to fall through
流目,liu2mu4,to let one's eyes rove
流眄,liu2mian3,to ogle; to glance in a shifty manner
流窜,liu2cuan4,"to roam all over the place; to go into every nook and corner; to infiltrate; (of criminals, enemies etc) to be on the run; to flee and try to hide"
流网,liu2wang3,drift net (fishing)
流线,liu2xian4,streamline (physics)
流脓,liu2nong2,to discharge pus; to suppurate
流芳,liu2fang1,to leave a good reputation
流落,liu2luo4,to wander about destitute; to be stranded
流荡,liu2dang4,to float; to tramp; to rove
流苏,liu2su1,tassels
流萤,liu2ying2,firefly
流览,liu2lan3,to skim; to browse
流言,liu2yan2,rumor; gossip; to spread rumors
流变,liu2bian4,to flow and change; development and change (of society)
流辈,liu2bei4,a contemporary; similar class of people
流逝,liu2shi4,(of time) to pass; to elapse
流速,liu2su4,flow speed; rate of flow
流连,liu2lian2,to loiter (i.e. reluctant to leave); to linger on
流离,liu2li2,homeless and miserable; forced to leave home and wander from place to place; to live as a refugee
流韵,liu2yun4,musical sound; flowing rhythm (of poetry); cadence
流体,liu2ti3,fluid
流丽,liu2li4,smooth and ornate; flowing (style etc)
浙菜,zhe4cai4,zhejiang cuisine
浙赣,zhe4gan4,zhejiang-jiangxi
浚渫,jun4xie4,to dredge
浣女,huan4nu:35,washerwoman
浣洗,huan4xi3,to wash (clothes)
浣涤,huan4di2,to wash; to rinse
浣濯,huan4zhuo2,to wash; to rinse
浣熊,huan4xiong2,raccoon (procyon lotor)
浣纱,huan4sha1,to wash silk
浣衣,huan4yi1,to wash clothes
浣雪,huan4xue3,to cleanse oneself of false accusations
浦东,pu3dong1,"pudong, subprovincial district of shanghai"
浩博,hao4bo2,vast and plentiful; ample; very many
浩大,hao4da4,vast; great; large amount
浩室,hao4shi4,house (music genre) (loanword)
浩气,hao4qi4,vast spirit; nobility of spirit
浩浩,hao4hao4,vast; expansive (universe); torrential (floods)
浩淼,hao4miao3,vast; extending into the distance
浩渺,hao4miao3,vast; extending into the distance
浩瀚,hao4han4,vast (of ocean); boundless
浩然,hao4ran2,vast; expansive; overwhelming
浩特,hao4te4,nomadic camp; town or village (mongolian: khot)
浩繁,hao4fan2,vast; voluminous; many and varied; numerous; extensive amount of; exhaustive; heavy (expenditure); arduous; strenuous; exhausting; draining; burdensome
浩茫,hao4mang2,boundless; unlimited
浩荡,hao4dang4,vast and mighty (of river or ocean); broad and powerful
浩阔,hao4kuo4,vast
浪人,lang4ren2,vagrant; unemployed person
浪女,lang4nu:35,loose woman
浪子,lang4zi3,loafer; wastrel; prodigal son
浪涌,lang4yong3,(electrical) surge
浪潮,lang4chao2,wave; tides
浪涛,lang4tao1,ocean wave; billows
浪谷,lang4gu3,trough of a wave; (fig.) low point; lowest level
浪船,lang4chuan2,swingboat
浪花,lang4hua1,spray; ocean spray; spindrift; fig. happenings from one's life
浪莽,lang4mang3,vast
浪荡,lang4dang4,to loiter; to hang around; dissolute; licentious
浪蚀,lang4shi2,wave erosion
浪迹,lang4ji4,to roam about; to wander without a home
浪头,lang4tou5,wave
浮上,fu2shang4,to float up; to rise to the surface; fig. to rise in the world
浮冰,fu2bing1,ice floe
浮出,fu2chu1,to emerge
浮利,fu2li4,"mere worldly, superficial gain, such as wealth and fame"
浮力,fu2li4,buoyancy
浮动,fu2dong4,to float and drift; unstable
浮土,fu2tu3,topsoil; surface dust
浮尘,fu2chen2,"dust (floating in the air or settled on a surface); large amount of airborne sand and dust, such as during a sandstorm"
浮屠,fu2tu2,buddha
浮岩,fu2yan2,pumice
浮想,fu2xiang3,passing thought; an idea that comes into one's head; recollection
浮标,fu2biao1,buoy
浮桥,fu2qiao2,pontoon bridge
浮气,fu2qi4,feeble breath; frivolity; flippancy
浮沉,fu2chen2,ups and downs (of life etc); to drift along; to sink and emerge
浮泛,fu2fan4,"to float about; (of a feeling) to show on the face; (of speech, friendship etc) shallow; vague"
浮浅,fu2qian3,skin-deep; superficial; shallow
浮游,fu2you2,to float; to drift; to wander
浮滑,fu2hua2,(of language or behavior) flippant and insincere
浮潜,fu2qian2,to snorkel; snorkeling
浮滥,fu2lan4,excessive; exorbitant; excessively
浮石,fu2shi2,pumice
浮肿,fu2zhong3,swollen; bloated; edema; dropsy
浮华,fu2hua2,ostentatious; pretentious; showy
浮萍,fu2ping2,duckweed
浮着,fu2zhe5,afloat
浮薄,fu2bo2,frivolous; philandering
浮词,fu2ci2,florid but insubstantial remarks; misleading way of saying sth
浮夸,fu2kua1,to exaggerate; to be boastful; pompous; grandiose
浮财,fu2cai2,movable property; money and belongings; non-real estate assets
浮贴,fu2tie1,to glue something lightly enough that it can be removed later
浮质,fu2zhi4,aerosol
浮起,fu2qi3,to float; to emerge
浮选,fu2xuan3,flotation process
浮雕,fu2diao1,relief sculpture
浮云,fu2yun2,floating clouds; fleeting; transient
浮面,fu2mian4,surface (of a liquid); superficial
浮点,fu2dian3,(computing) floating point
浴场,yu4chang3,bathing spot
浴巾,yu4jin1,bath towel
浴帽,yu4mao4,shower cap
浴柜,yu4gui4,bathroom cabinet
浴池,yu4chi2,public bath
浴液,yu4ye4,body wash
浴球,yu4qiu2,shower puff; bath sponge; bath ball (containing aromas or salts)
浴盆,yu4pen2,bathtub
浴帘,yu4lian2,shower curtain
浴缸,yu4gang1,bathtub
浴花,yu4hua1,shower puff; shower sponge
浴血,yu4xue4,blood-soaked
浴衣,yu4yi1,"bathrobe; yukata, lightweight informal kimono worn in summer"
浴袍,yu4pao2,bathrobe
浴盐,yu4yan2,bath salts
海上,hai3shang4,maritime
海事,hai3shi4,maritime affairs; accident at sea
海信,hai3xin4,hisense (brand)
海兔,hai3tu4,sea hare (aplysia)
海内,hai3nei4,the whole world; throughout the land; everything under the sun
海北,hai3bei3,haibei tibetan autonomous prefecture in qinghai
海南,hai3nan2,hainan island
海参,hai3shen1,sea cucumber
海口,hai3kou3,estuary; coastal inlet; river mouth; seaport
海味,hai3wei4,seafood
海员,hai3yuan2,sailor; mariner
海地,hai3di4,"haiti, the western third of caribbean island hispaniola"
海堤,hai3di1,levee; dyke; seawall
海涂,hai3tu2,tidal marsh; shoal; shallows
海子,hai3zi5,(dialect) wetlands; lake
海宝,hai3bao3,"haibao, expo 2010 mascot"
海岬,hai3jia3,headland
海岱,hai3dai4,"haidai, historical region extending from the bohai sea to mt tai in shandong"
海岛,hai3dao3,island
海岭,hai3ling3,mid-ocean ridge
海巡,hai3xun2,coast guard
海市,hai3shi4,mirage (lit. or fig.)
海带,hai3dai4,kelp
海床,hai3chuang2,seabed; seafloor; bottom of the ocean
海康,hai3kang1,haikang (company name)
海德,hai3de2,hyde (surname)
海战,hai3zhan4,naval battle
海扁,hai3bian3,(slang) to beat sb up
海损,hai3sun3,damage to goods during shipping
海斯,hai3si1,hayes (microcomputer)
海日,hai3ri4,sun over sea
海星,hai3xing1,starfish; sea star
海景,hai3jing3,seascape; sea view
海东,hai3dong1,"haidong prefecture, qinghai"
海枣,hai3zao3,date (fruit)
海棠,hai3tang2,chinese flowering crab apple (malus spectabilis)
海椒,hai3jiao1,(dialect) hot pepper
海榴,hai3liu2,pomegranate
海归,hai3gui1,to return to china after a period of study or work overseas
海法,hai3fa3,haifa (city in israel)
海波,hai3bo1,hypo (loanword); sodium thiosulfate na2s2o3 used in fixing photos (formerly hyposulfite); wave (sea)
海涵,hai3han2,(polite expression) to be magnanimous enough to forgive or tolerate (one's errors or shortcomings)
海淘,hai3tao2,online purchase of goods dispatched from overseas
海港,hai3gang3,seaport; harbor
海沟,hai3gou1,marine trench
海潮,hai3chao2,tide
海尔,hai3er3,haier (prc household appliance brand); hale (name)
海牙,hai3ya2,the hague (city in the netherlands); den haag
海牛,hai3niu2,manatee
海狗,hai3gou3,fur seal
海狸,hai3li2,beaver
海狮,hai3shi1,sea lion
海獭,hai3ta3,sea otter
海王,hai3wang2,"poseidon, greek god of the sea; neptune, roman god of the sea; aquaman, dc comic book superhero; (slang) womanizer; player"
海产,hai3chan3,marine; produced in sea
海疆,hai3jiang1,coastal border region
海登,hai3deng1,hayden or haydn (name)
海相,hai3xiang4,marine facies (geology)
海砂,hai3sha1,sea sand (sand of the ocean floor or seashore)
海碗,hai3wan3,very large bowl
海神,hai3shen2,emperor of the sea; neptune
海禁,hai3jin4,prohibition on entering or leaving by sea
海米,hai3mi3,dried shrimps
海胆,hai3dan3,sea urchin
海航,hai3hang2,hainan airlines
海船,hai3chuan2,seagoing ship
海芋,hai3yu4,giant taro (alocasia macrorrhizos); common calla
海苔,hai3tai2,nori
海草,hai3cao3,seagrass
海葵,hai3kui2,sea anemone
海虹,hai3hong2,mussel
海蜇,hai3zhe2,"rhopilema esculenta, an edible jellyfish"
海蚀,hai3shi2,coastal erosion; marine abrasion
海螺,hai3luo2,sea snail; whelk; conch
海蛎,hai3li4,oyster
海西,hai3xi1,haixi mongol and tibetan autonomous prefecture (tibetan: mtsho-nub sog-rigs dang bod-rigs rang-skyong-khul) in qinghai
海角,hai3jiao3,cape; promontory
海警,hai3jing3,coast guard
海豚,hai3tun2,dolphin
海象,hai3xiang4,walrus
海豹,hai3bao4,seal (zoology)
海贼,hai3zei2,pirate
海迪,hai3di2,heidi
海选,hai3xuan3,"(in elections for village committees in the prc since the 1990s) unrestricted nomination, a type of election where 1. everyone in the community is eligible to nominate somebody 2. voting is done by writing the name of one's nominee on the ballot, and 3. one's nominee can be anyone in the community (nominees who receive the highest number of votes may be thereby elected or, more often, presented as the candidates in a further round of voting.); (in other contexts) selection of the best contender in a process open to all comers; (in the entertainment industry) open audition"
海里,hai3li3,nautical mile
海错,hai3cuo4,seafood delicacy
海防,hai3fang2,coastal defense
海陆,hai3lu4,sea and land; ocean and continent; army and navy
海隅,hai3yu2,coastal area
海难,hai3nan4,perils of the sea
海鞘,hai3qiao4,ascidiacea; sea squirt
海顿,hai3dun4,haydn (name)
海风,hai3feng1,sea breeze; sea wind (i.e. from the sea)
海马,hai3ma3,sea horse; hippocampus
海鲤,hai3li3,sea bream
海鲈,hai3lu2,sea bass
海鸟,hai3niao3,seabird
海鹫,hai3jiu4,sea eagle
海盐,hai3yan2,sea salt
海龟,hai3gui1,turtle
浸入,jin4ru4,to soak; to dip
浸剂,jin4ji4,infusion (pharm.)
浸染,jin4ran3,to be contaminated; to be gradually influenced
浸水,jin4shui3,irrigation water
浸沉,jin4chen2,to soak; to steep
浸没,jin4mo4,to immerse; to swamp
浸洗,jin4xi3,to immerse; to rinse
浸渍,jin4zi4,to soak; to macerate
浸润,jin4run4,to permeate; to percolate; fig. to saturate (with emotion)
浸湿,jin4shi1,to soak; to saturate
浸种,jin4zhong3,"to soak seeds (in water, to hasten germination, or in a chemical solution, to prevent damage from insects etc)"
浸透,jin4tou4,to soak; to saturate; to drench; to permeate
浽溦,sui1wei1,drizzle; fine rain
涂山,tu2shan1,mt tu in zhejiang
涅瓦,nie4wa3,the nyeva or neva river (through st petersburg)
涅白,nie4bai2,opaque white
涅石,nie4shi2,alumen; alunite (tcm)
消亡,xiao1wang2,to die out; to wither away
消停,xiao1ting2,to calm down; to stop; to pause; calmly; peaceful; restful
消元,xiao1yuan2,elimination (math); to eliminate one variable from equations
消去,xiao1qu4,to eliminate
消受,xiao1shou4,"to bear; to enjoy (usually in negative combination, meaning unable to enjoy)"
消夏,xiao1xia4,to spend the summer; to take a summer vacation
消夜,xiao1ye4,nighttime snack; late-night supper
消弭,xiao1mi3,(literary) to eliminate; to put an end to
消损,xiao1sun3,wear and tear; to wear away over time
消散,xiao1san4,to dissipate
消暑,xiao1shu3,to spend a summer holiday; (esp of chinese medicine) to relieve summer heat
消气,xiao1qi4,to cool one's temper
消泯,xiao1min3,to eliminate; to obliterate
消渴,xiao1ke3,"condition characterized by thirst, hunger, frequent urination and weight loss, identified in tcm with type 2 diabetes"
消灾,xiao1zai1,to avoid calamities
消炎,xiao1yan2,to reduce fever; antipyretic; to decrease inflammation
消瘦,xiao1shou4,to waste away; to become thin
消磨,xiao1mo2,to wear down; to sap; to whittle away; to while away; to idle away
消声,xiao1sheng1,sound dissipation; noise reduction
消肿,xiao1zhong3,to reduce swelling; detumescence; (fig.) to streamline (a bloated bureaucracy etc)
消蚀,xiao1shi2,erosion; wearing away; ablation
消融,xiao1rong2,to melt (e.g. an icecap)
消解,xiao1jie3,to eliminate; to dispel; resolution
消退,xiao1tui4,to wane; to vanish gradually
消逝,xiao1shi4,to fade away
消释,xiao1shi4,to dispel (doubts); to clear up (misunderstanding)
消金,xiao1jin1,consumer finance
消长,xiao1zhang3,to ebb and rise; to decrease and then grow
消闲,xiao1xian2,to spend one's leisure time; to idle away the time
消隐,xiao1yin3,to hide; to retreat into privacy
消音,xiao1yin1,to silence
消食,xiao1shi2,to aid digestion
消魂,xiao1hun2,"overwhelmed (with joy, sorrow etc); to feel transported"
涉世,she4shi4,to see the world; to go out into society; to gain experience
涉事,she4shi4,(archaic) to recount the events
涉外,she4wai4,concerning foreigners or foreign affairs
涉想,she4xiang3,to imagine; to consider
涉案,she4an4,"(of a perpetrator, victim, weapon, sum of money etc) to be involved in the case"
涉历,she4li4,to experience
涉渡,she4du4,to ford (a stream); to wade across
涉猎,she4lie4,to skim (through a book); to read cursorily; to dip into
涉众,she4zhong4,the stakeholders; a stakeholder
涉览,she4lan3,to browse; to glance through; to read
涉讼,she4song4,to be involved in a lawsuit
涉诈,she4zha4,to be linked to fraudulent activity
涉贿,she4hui1,to be suspected of bribery
涉足,she4zu2,to set foot in; to step into; to become involved for the first time
涉过,she4guo4,"to ford (a stream, river etc)"
涉险,she4xian3,to take risks; involved in adventure
涉黑,she4hei1,gang-related
涎水,xian2shui3,saliva
涎沫,xian2mo4,spittle
涓吉,juan1ji2,to choose an auspicious day
涓埃,juan1ai1,tiny stream of dust; tiny things; negligible
涓涓,juan1juan1,a trickle; tiny stream; sluggish; to flow sluggishly
涓滴,juan1di1,tiny stream; trickle; drops; tiny trickle of funds
涕唾,ti4tuo4,nasal mucus and spittle
涕泣,ti4qi4,to weep; to shed tears
涕零,ti4ling2,to shed tears; to weep
涪陵,fu2ling2,"fuling suburbs of chongqing municipality, formerly in sichuan"
液力,ye4li4,hydraulic power; (attributive) hydraulic
液化,ye4hua4,to liquefy
液压,ye4ya1,hydraulic pressure
液态,ye4tai4,liquid (state)
液氨,ye4an1,liquid ammonia
液氮,ye4dan4,liquid nitrogen
液泡,ye4pao4,vacuole (biology)
液流,ye4liu2,stream; flow of liquid
液胞,ye4bao1,vacuole
液面,ye4mian4,surface (of a body of liquid)
涵意,han2yi4,content; meaning; connotation; implication
涵括,han2kuo4,to encompass; to cover
涵摄,han2she4,to assimilate; to subsume
涵洞,han2dong4,culvert
涵淡,han2dan4,waves
涵管,han2guan3,culvert pipe
涵养,han2yang3,to conserve (e.g. water); self-restraint; self-possession
凉亭,liang2ting2,pavilion
凉席,liang2xi2,summer sleeping mat (e.g. of woven split bamboo)
凉意,liang2yi4,a slight chill
凉拌,liang2ban4,salad with dressing; cold vegetables dressed with sauce (e.g. coleslaw)
凉棚,liang2peng2,mat awning; arbor
凉凉,liang2liang2,slightly cold; cool; (neologism) (slang) to be done for; about to be obliterated; (of a place or a person) desolate
凉皮,liang2pi2,liangpi (noodle-like dish)
凉粉,liang2fen3,liangfen (chinese dish); grass jelly (chinese dish)
凉茶,liang2cha2,chinese herb tea
凉面,liang2mian4,cold noodles
淄博,zi1bo2,"zibo, prefecture-level city in shandong"
淄蠹,zi1du4,to be worn out
淆乱,xiao2luan4,to confuse; to befuddle
淆杂,xiao2za2,to mix up; to muddle
淇淋,qi2lin2,cream (loanword)
淋巴,lin2ba1,lymph (loanword); lymphatic
淋浴,lin2yu4,to take a shower; shower
淋漓,lin2li2,dripping wet; pouring; saturated; (fig.) uninhibited; fluid; emotionally unrestrained; extreme
淋湿,lin2shi1,to get soaked
淋病,lin4bing4,gonorrhea
淋雨,lin2yu3,to get wet in the rain
淌下,tang3xia4,to let drip; to trickle down; to shed (tears)
淌泪,tang3lei4,to shed a tear
淑世,shu1shi4,to make the world a better place
淑女,shu1nu:35,wise and virtuous woman; lady
淑静,shu1jing4,gentle; tender
凄切,qi1qie4,mournful
凄厉,qi1li4,mournful (sound)
凄婉,qi1wan3,melancholy; moving and sad; sweet and piteous
凄寒,qi1han2,cold and desolate
凄惋,qi1wan3,doleful; piteous
凄惶,qi1huang2,distressed and terrified; distraught (literary)
凄暗,qi1an4,dismal; somber
凄凄,qi1qi1,cold and dismal
凄清,qi1qing1,somber; cheerless
凄美,qi1mei3,poignant; sad and beautiful
凄黯,qi1an4,dismal; somber
淘客,tao2ke4,"talk (loanword); chatline of prc internet company taobao, taokshop.com"
淘析,tao2xi1,to strain; to wash and filter
淘河,tao2he2,pelican
淘洗,tao2xi3,to wash
淘神,tao2shen2,troublesome; bothersome
淘箩,tao2luo2,basket (for washing rice)
淘米,tao2mi3,to rinse rice
淘选,tao2xuan3,to decant; to strain off
淘金,tao2jin1,to pan for gold; to try to make a fortune
泪人,lei4ren2,"person who is crying their eyes out, whose face is wet with tears"
泪光,lei4guang1,glistening teardrops
泪奔,lei4ben1,(slang) to get emotional
泪液,lei4ye4,tears; teardrops
泪珠,lei4zhu1,a teardrop
泪痕,lei4hen2,tear stains
泪眼,lei4yan3,tearful eyes
泪管,lei4guan3,tear duct
泪腺,lei4xian4,lacrimal gland
泪花,lei4hua1,tears in the eyes
泪点,lei4dian3,(anatomy) lacrimal punctum; (literary) tears; (neologism c. 2015) the point at which one is moved to tears
淡光,dan4guang1,shimmer
淡入,dan4ru4,to fade in (cinema)
淡出,dan4chu1,"to fade out (cinema); to withdraw from (politics, acting etc); to fade from (memory)"
淡啤,dan4pi2,light beer
淡妆,dan4zhuang1,light makeup
淡定,dan4ding4,calm and collected; unperturbed
淡忘,dan4wang4,to be forgotten; to fade from memory
淡水,dan4shui3,potable water (water with low salt content); fresh water
淡泊,dan4bo2,living a simple life
淡淡,dan4dan4,faint; dim; dull; insipid; unenthusiastic; indifferent
淡漠,dan4mo4,apathetic; indifferent; unsympathetic
淡然,dan4ran2,tranquil and calm; indifferent
淡薄,dan4bo2,thin; light; flagging; faint
淡雅,dan4ya3,simple and elegant
淡黄,dan4huang2,light yellow
淤伤,yu1shang1,bruising
淤塞,yu1se4,choked with silt; silted up
淤泥,yu1ni2,silt; sludge; ooze
淤浅,yu1qian3,to silt up
淤滞,yu1zhi4,silted up; obstructed by silt
淤灌,yu1guan4,to warp (fertilize land by flooding)
淤积,yu1ji1,to silt up; silt; sediment; ooze; slurry
淤青,yu1qing1,bruise; contusion
净值,jing4zhi2,net value; net worth
净利,jing4li4,net profit
净手,jing4shou3,to wash one's hands; (fig.) to go to the toilet
净水,jing4shui3,clean water; purified water
净尽,jing4jin4,to eliminate; to purge
净重,jing4zhong4,net weight
凌虐,ling2nu:e4,to maltreat; to tyrannize
沦亡,lun2wang2,(of a country) to perish; to be annexed; subjugation (to a foreign power)
沦丧,lun2sang4,to be lost; to be ruined; to perish; to wither away
沦没,lun2mo4,to sink; to drown
沦浃,lun2jia1,to be deeply affected; moved to the core
沦灭,lun2mie4,to perish; extinction
沦为,lun2wei2,to sink down to; to be reduced to (sth inferior)
沦落,lun2luo4,to degenerate; impoverished; to fall (into poverty); to be reduced (to begging)
沦陷,lun2xian4,to fall into enemy hands; to be occupied; to degenerate; to submerge
淫乱,yin2luan4,promiscuous
淫威,yin2wei1,abuse of authority; tyrannical abuse
淫娃,yin2wa2,dissolute girl; slut
淫妇,yin2fu4,loose woman; prostitute; jezebel
淫媒,yin2mei2,procurer; pimp
淫径,yin2jing4,evil ways; fornication
淫念,yin2nian4,lust
淫欲,yin2yu4,lust
淫书,yin2shu1,obscene book; pornography
淫棍,yin2gun4,dirty old man; lecher
淫乐,yin2le4,vice; degenerate pleasures
淫水,yin2shui3,sexual secretions
淫猥,yin2wei3,obscene; indecent
淫画,yin2hua4,obscene picture
淫秽,yin2hui4,obscene; coarse
淫穴,yin2xue2,pussy; cunt; twat
淫荡,yin2dang4,loose in morals; lascivious; licentious; lewd
淫虫,yin2chong2,sex maniac
淫行,yin2xing2,wanton or lascivious behavior; adulterous behavior
淫亵,yin2xie4,obscene
淫贱,yin2jian4,"morally loose, lewd and low, lascivious and mean; wanton"
淫辱,yin2ru3,fornication and insults; to rape and insult
淫逸,yin2yi4,to indulge in; dissipation; debauchery
淫雨,yin2yu3,excessive rain
淫靡,yin2mi3,profligate; extravagantly showy; (of music) lascivious; decadent
淫风,yin2feng1,lascivious; wanton
淫鬼,yin2gui3,lecherous devil
淫魔,yin2mo2,lewd demon; lecher; pervert
淬火,cui4huo3,to quench; to temper; to harden by quenching
淮北,huai2bei3,huaibei prefecture-level city in anhui
淮南,huai2nan2,huainan prefecture-level city in anhui
淮安,huai2an1,huai'an prefecture-level city in jiangsu
淮山,huai2shan1,"chinese yam (dioscorea polystachya), aka nagaimo"
淯水,yu4shui3,name of river
深井,shen1jing3,sham tseng (area in hong kong)
深吻,shen1wen3,french kissing
深圳,shen1zhen4,"shenzhen subprovincial city in guangdong, special economic zone close to hong kong"
深奥,shen1ao4,profound; abstruse; recondite; profoundly
深密,shen1mi4,dense; thick
深层,shen1ceng2,deep layer; deep; deep-seated; underlying
深山,shen1shan1,deep in the mountains
深广,shen1guang3,deep and wide; vast; profound (influence etc)
深爱,shen1ai4,to love dearly
深感,shen1gan3,to feel deeply
深挖,shen1wa1,to dredge
深挚,shen1zhi4,heartfelt and genuine
深棕,shen1zong1,brown (color)
深沉,shen1chen2,"deep; profound; (of a person) reserved; undemonstrative; (of a voice, sound etc) deep; low-pitched"
深海,shen1hai3,deep sea
深渊,shen1yuan1,abyss
深浅,shen1qian3,deep or shallow; depth (of the sea); limits of decorum
深港,shen1gang3,shenzhen and hong kong
深潭,shen1tan2,deep natural pond; deep pit; abyss
深知,shen1zhi1,to know well; to be fully aware of
深秋,shen1qiu1,late autumn
深究,shen1jiu1,to perform an in-depth investigation
深空,shen1kong1,deep space (outer space)
深绿,shen1lu:45,dark green
深县,shen1xian4,shen county in hebei
深耕,shen1geng1,deep plowing; thorough penetration; thorough development (of a market segment etc)
深色,shen1se4,dark; dark colored
深蓝,shen1lan2,dark blue
深藏,shen1cang2,to be deeply hidden; to lie deep (in some place)
深谈,shen1tan2,to have an in depth conversation; to have intimate talks; to discuss thoroughly
深谙,shen1an1,to know (sth) very well; to be an expert in
深谋,shen1mou2,forethought
深谷,shen1gu3,deep valley; ravine
深蹲,shen1dun1,squat (exercise)
深造,shen1zao4,to pursue one's studies
深邃,shen1sui4,deep (valley or night); abstruse; hidden in depth
深重,shen1zhong4,very serious; grave; profound
深长,shen1chang2,"profound (meaning, implications etc)"
深闺,shen1gui1,lady's private room or bedroom; boudoir
深陷,shen1xian4,"to be deeply in (trouble, debt etc); deep set (eyes)"
淳于,chun2yu2,two-character surname chunyu
淳厚,chun2hou4,pure and honest; simple and kind
淳朴,chun2pu3,simple and honest; unsophisticated; guileless
渊博,yuan1bo2,erudite; profound; learned; extremely knowledgeable
渊壑,yuan1he4,deep valley
渊富,yuan1fu4,rich and variegated
渊广,yuan1guang3,broad and extensive (of knowledge etc)
渊虑,yuan1lu:45,profound thoughts or ideas
渊冲,yuan1chong1,erudite but open-minded
渊泉,yuan1quan2,deep springs
渊泓,yuan1hong2,vast and profound
渊海,yuan1hai3,(lit.) abyss and ocean; (fig.) vast and profound
渊深,yuan1shen1,profound (knowledge); erudite
渊渊,yuan1yuan1,deep and still; sound of a drum
渊玄,yuan1xuan2,profundity; depth
渊薮,yuan1sou3,(lit.) gathering place of fish or other creatures; (fig.) haunt; lair; nest; den; hotbed
渊诣,yuan1yi4,deep and profound meaning
渊谋,yuan1mou2,profound or erudite plans
渊识,yuan1shi2,erudite and sophisticated
渊谷,yuan1gu3,deep valley
渊远,yuan1yuan3,deep; profound
渊默,yuan1mo4,profound silence
混一,hun4yi1,to amalgamate; to mix together as one
混事,hun4shi4,to work half-heartedly; to get by in a job with the minimum effort
混交,hun4jiao1,mixed (growth of wood)
混作,hun4zuo4,mixed cropping (i.e. growing two crops together)
混元,hun4yuan2,time immemorial; origin of the universe; the world
混充,hun4chong1,to pass oneself off as sb; to palm sth off as
混入,hun4ru4,to sneak into
混同,hun4tong2,to mix up; to confuse one thing with another
混名,hun4ming2,nickname
混和,hun4huo4,mixture; amalgam
混吣,hun4qin4,vulgar; foul-mouthed
混子,hun4zi5,hoodlum; person unfit for society
混战,hun4zhan4,chaotic warfare; confused fighting; melee; to join in such fighting
混搭,hun4da1,to mix and match (of clothing etc)
混汞,hun4gong3,mercury amalgam
混沌,hun4dun4,primal chaos; formless mass before creation in chinese mythology; muddled; innocent as a baby
混熟,hun4shou2,to get familiar with
混球,hun2qiu2,bastard; wretch; scoundrel
混蒙,hun4meng1,to deceive; to mislead
混种,hun4zhong3,hybrid; mixed-breed
混纺,hun4fang3,mixed fabric; blended fabric
混编,hun4bian1,mixed
混茫,hun4mang2,dim; obscure
混号,hun4hao4,nickname
混蛋,hun2dan4,scoundrel; bastard; hoodlum; wretch
混血,hun4xue4,hybrid
混行,hun2xing2,mixed use (e.g. pedestrians and vehicles); joint operation (e.g. trains and buses)
混账,hun4zhang4,shameful
混迹,hun4ji4,mixed in as part of a community; hiding one's identity; occupying a position while not deserving it
混进,hun4jin4,to infiltrate; to sneak into
混杂,hun4za2,to mix; to mingle
混音,hun4yin1,(audio) mixing
混饭,hun4fan4,to work for a living
淹博,yan1bo2,widely read; erudite
淹死,yan1si3,to drown
淹水,yan1shui3,to be flooded
淹没,yan1mo4,to submerge; to drown; to flood; to drown out (also fig.)
淹灭,yan1mie4,to submerge; to flood; to bury
淹灌,yan1guan4,basin irrigation (e.g. paddy fields)
淹留,yan1liu2,to stay for a long period
淹盖,yan1gai4,to submerge; to flood; to drown out
浅尝,qian3chang2,dilettante; amateur; to dabble in; to flirt with (a topic); dilettante; amateur; to dabble in; to flirt with (a topic)
浅学,qian3xue2,shallow study; superficial; scant knowledge
浅易,qian3yi4,easy; simple; suitable for beginners
浅析,qian3xi1,"primary, elementary or coarse analysis"
浅水,qian3shui3,shallow water
浅海,qian3hai3,shallow sea; sea less than 200 meters deep
浅淡,qian3dan4,light (color); pale; vague (feeling)
浅深,qian3shen1,depth (archaic)
浅滩,qian3tan1,shallows; shoal; sandbar
浅白,qian3bai2,simple; easy to understand
浅短,qian3duan3,narrow and shallow (knowledge or skill); superficial
浅礁,qian3jiao1,shallow reef; shoal
浅耕,qian3geng1,to scratch; shallow plowing
浅色,qian3se4,light color
浅薄,qian3bo2,superficial
浅见,qian3jian4,shallow opinion; humble opinion
浅说,qian3shuo1,simple introduction; primer
浅近,qian3jin4,simple
浅陋,qian3lou4,shallow and crude; meager (knowledge or skill)
浅露,qian3lu4,blunt; direct (i.e. not tactful)
浅显,qian3xian3,plain; clear; obvious
浅鲜,qian3xian3,meager; slight
浅黑,qian3hei1,dark; gray; (of skin) lightly pigmented
添丁,tian1ding1,to add a son to the family
