我们 wo3men5
真谛 zhen1di4
傍晚 bang4wan3
斐济 fei3ji4
毒枭 du2xiao1
挥霍 hui1huo4
竖起 shu4qi3
鼹鼠 yan3shu3
油井 you2jing3
惬意 qie4yi4
矫正 jiao3zheng4
明媚 ming2mei4
盐水 yan2shui3
垂死 chui2si3
煽动 shan1dong4
遭殃 zao1yang1
莫非 mo4fei1
眩晕 xuan4yun4
曼谷 man4gu3
色狼 se4lang2
肺癌 fei4ai2
旺盛 wang4sheng4
瓦解 wa3jie3
云霄 yun2xiao1
喂养 wei4yang3
姊妹 zi3mei4
齿轮 chi3lun2
肉桂 rou4gui4
不祥 bu4xiang2
混沌 hun4dun4
请柬 qing3jian3
作祟 zuo4sui4
隶属 li4shu3
对峙 dui4zhi4
奥运 ao4yun4
巢穴 chao2xue2
污秽 wu1hui4
无暇 wu2xia2
钳子 qian2zi5
哈勃 ha1bo2
教唆 jiao4suo1
胆怯 dan3qie4
流汗 liu2han4
爬山 pa2shan1
唐突 tang2tu1
腐朽 fu3xiu3
水蛭 shui3zhi4
寺庙 si4miao4
崛起 jue2qi3
内涵 nei4han2
踢腿 ti1tui3
胸脯 xiong1pu2
撮合 cuo1he5
阻挠 zu3nao2
驯服 xun4fu2
告诫 gao4jie4
斜坡 xie2po1
坍塌 tan1ta1
披风 pi1feng1
饶舌 rao2she2
蹂躏 rou2lin4
风扇 feng1shan4
剑桥 jian4qiao2
田地 tian2di4
萦绕 ying2rao4
歪曲 wai1qu1
客串 ke4chuan4
逍遥 xiao1yao2
折叠 zhe2die2
岛屿 dao3yu3
挨揍 ai2zou4
委婉 wei3wan3
加蓬 jia1peng2
舆论 yu2lun4
下颚 xia4e4
蝎子 xie1zi5
焚烧 fen2shao1
酝酿 yun4niang4
懊悔 ao4hui3
篡改 cuan4gai3
海藻 hai3zao3
王妃 wang2fei1
绽放 zhan4fang4
编织 bian1zhi1
诬陷 wu1xian4
沦落 lun2luo4
锯齿 ju4chi3
咀嚼 ju3jue2
水獭 shui3ta3
芬兰 fen1lan2
咕噜 gu1lu5
呐喊 na4han3
捆绑 kun3bang3
鹌鹑 an1chun2
睿智 rui4zhi4
梦魇 meng4yan3
年幼 nian2you4
敷衍 fu1yan3
抨击 peng1ji1
炭疽 tan4ju1
雄性 xiong2xing4
邂逅 xie4hou4
辍学 chuo4xue2
僧侣 seng1lü3
租赁 zu1lin4
竹子 zhu2zi5
盖茨 gai4ci2
占卜 zhan1bu3
欠债 qian4zhai4
和睦 he2mu4
烘干 hong1gan1
水壶 shui3hu2
甘油 gan1you2
晴朗 qing2lang3
麦芽 mai4ya2
劝说 quan4shuo1
船坞 chuan2wu4
撇开 pie1kai1
芭比 ba1bi3
摊牌 tan1pai2
油脂 you2zhi1
森严 sen1yan2
碧眼 bi4yan3
装潢 zhuang1huang2
痞子 pi3zi5
秀发 xiu4fa4
索赔 suo3pei2
褪色 tui4se4
针灸 zhen1jiu3
溶解 rong2jie3
萎缩 wei3suo1
盈利 ying2li4
俚语 li3yu3
手肘 shou3zhou3
膀胱 pang2guang1
羁押 ji1ya1
烛光 zhu2guang1
惋惜 wan3xi1
漱口 shu4kou3
木桩 mu4zhuang1
孔雀 kong3que4
疟疾 nüe4ji2
贞洁 zhen1jie2
暧昧 ai4mei4
浇水 jiao1shui3
马驹 ma3ju1
潦倒 liao2dao3
渣滓 zha1zi3
肚脐 du4qi2
孵化 fu1hua4
刀刃 dao1ren4
赃物 zang1wu4
凶狠 xiong1hen3
神庙 shen2miao4
累赘 lei2zhui4
包抄 bao1chao1
打鼾 da3han1
吝啬 lin4se4
虾米 xia1mi3
昔日 xi1ri4
狭窄 xia2zhai3
碉堡 diao1bao3
菠菜 bo1cai4
点滴 dian3di1
蜻蜓 qing1ting2
打盹 da3dun3
宏伟 hong2wei3
漩涡 xuan2wo1
蟋蟀 xi1shuai4
羚羊 ling2yang2
横穿 heng2chuan1
哭喊 ku1han3
清爽 qing1shuang3
曙光 shu3guang1
嚣张 xiao1zhang1
没辙 mei2zhe2
无奈 wu2nai4
灼伤 zhuo2shang1
颇为 po1wei2
缅甸 mian3dian4
恍惚 huang3hu1
莲花 lian2hua1
右翼 you4yi4
届时 jie4shi2
溃疡 kui4yang2
暗礁 an4jiao1
慰藉 wei4jie4
沃伦 wo4lun2
阀门 fa2men2
刺绣 ci4xiu4
甲烷 jia3wan2
扶手 fu2shou3
缅怀 mian3huai2
空旷 kong1kuang4
煮饭 zhu3fan4
栗子 li4zi5
枷锁 jia1suo3
啊呀 a1ya1
烫伤 tang4shang1
逾越 yu2yue4
攀登 pan1deng1
警笛 jing3di2
寿命 shou4ming4
疯癫 feng1dian1
颂歌 song4ge1
水坝 shui3ba4
怂恿 song3yong3
娇小 jiao1xiao3
殉职 xun4zhi2
不屑 bu4xie4
前夕 qian2xi1
孪生 luan2sheng1
禁锢 jin4gu4
憧憬 chong1jing3
觊觎 ji4yu2
椎骨 zhui1gu3
妊娠 ren4shen1
谦逊 qian1xun4
山丘 shan1qiu1
狗熊 gou3xiong2
船舱 chuan2cang1
菊花 ju2hua1
发炎 fa1yan2
战壕 zhan4hao2
嫂子 sao3zi5
嬉戏 xi1xi4
迁徙 qian1xi3
脱臼 tuo1jiu4
歼灭 jian1mie4
气囊 qi4nang2
摘除 zhai1chu2
抒情 shu1qing2
水痘 shui3dou4
中枢 zhong1shu1
噱头 xue2tou2
胚胎 pei1tai1
缝纫 feng2ren4
宫廷 gong1ting2
巩固 gong3gu4
颓废 tui2fei4
精湛 jing1zhan4
胰腺 yi2xian4
咒骂 zhou4ma4
咽下 yan4xia4
斩首 zhan3shou3
褶皱 zhe3zhou4
翱翔 ao2xiang2
蛤蜊 ge2li2
请帖 qing3tie3
阐述 chan3shu4
卷轴 juan4zhou2
停滞 ting2zhi4
罗莎 luo2sha1
娼妓 chang1ji4
珊瑚 shan1hu2
洛林 luo4lin2
饺子 jiao3zi5
若干 ruo4gan1
表彰 biao3zhang1
严谨 yan2jin3
砸烂 za2lan4
荧光 ying2guang1
拉拢 la1long3
咔嚓 ka1cha1
坎坷 kan3ke3
磨坊 mo4fang2
雌性 ci2xing4
怪癖 guai4pi3
嫁人 jia4ren2
乒乓 ping1pang1
妒嫉 du4ji2
弹劾 tan2he2
打捞 da3lao1
翡翠 fei3cui4
毅力 yi4li4
碾碎 nian3sui4
捧场 peng3chang3
缝隙 feng4xi4
忧愁 you1chou2
亢奋 kang4fen4
蜗牛 wo1niu2
袒护 tan3hu4
找茬 zhao3cha2
背诵 bei4song4
马鞍 ma3an1
燕麦 yan4mai4
汹涌 xiong1yong3
殆尽 dai4jin4
腹泻 fu4xie4
概括 gai4kuo4
砍刀 kan3dao1
拓展 tuo4zhan3
隔阂 ge2he2
横梁 heng2liang2
火堆 huo3dui1
松弛 song1chi2
夜莺 ye4ying1
譬如 pi4ru2
缴税 jiao3shui4
光泽 guang1ze2
芳香 fang1xiang1
蟾蜍 chan2chu2
颧骨 quan2gu3
烙印 lao4yin4
颗粒 ke1li4
瞌睡 ke1shui4
雪梨 xue3li2
憔悴 qiao2cui4
朦胧 meng2long2
叮咚 ding1dong1
赴约 fu4yue1
扒手 pa2shou3
铸造 zhu4zao4
荆棘 jing1ji2
饲料 si4liao4
螳螂 tang2lang2
呵护 he1hu4
血泊 xue4po1
宛如 wan3ru2
飞蛾 fei1e2
帷幕 wei2mu4
疝气 shan4qi4
鳟鱼 zun1yu2
惶恐 huang2kong3
教诲 jiao4hui4
投掷 tou2zhi4
门槛 men2kan3
豺狼 chai2lang2
绶带 shou4dai4
挺进 ting3jin4
镰刀 lian2dao1
铁锹 tie3qiao1
焊接 han4jie1
嫖客 piao2ke4
蠕虫 ru2chong2
提倡 ti2chang4
鸳鸯 yuan1yang1
范畴 fan4chou2
气馁 qi4nei3
潮汐 chao2xi1
矛头 mao2tou2
迷惘 mi2wang3
佐罗 zuo3luo2
垂涎 chui2xian2
楷模 kai3mo2
奚落 xi1luo4
闸门 zha2men2
辗转 zhan3zhuan3
喷嚏 pen1ti4
臂膀 bi4bang3
蛤蟆 ha2ma5
丙烷 bing3wan2
孢子 bao1zi3
阉割 yan1ge1
驼鹿 tuo2lu4
嚎叫 hao2jiao4
邮戳 you2chuo1
无恙 wu2yang4
脓包 nong2bao1
间歇 jian4xie1
青睐 qing1lai4
莴苣 wo1ju4
渎职 du2zhi2
嵌入 qian4ru4
凄凉 qi1liang2
狼狈 lang2bei4
鸵鸟 tuo2niao3
干旱 gan1han4
抹黑 mo3hei1
清澈 qing1che4
缄默 jian1mo4
窝囊 wo1nang5
嘈杂 cao2za2
大幅 da4fu2
棚子 peng2zi5
拱手 gong3shou3
什锦 shi2jin3
祭祀 ji4si4
国玺 guo2xi3
海啸 hai3xiao4
厮混 si1hun4
咽喉 yan1hou2
压榨 ya1zha4
迸发 beng4fa1
北纬 bei3wei3
捂住 wu3zhu4
喷溅 pen1jian4
狭小 xia2xiao3
葫芦 hu2lu5
香椿 xiang1chun1
泥潭 ni2tan2
紫藤 zi3teng2
美艳 mei3yan4
瘦小 shou4xiao3
沥青 li4qing1
冗长 rong3chang2
喧闹 xuan1nao4
鳏夫 guan1fu1
韧带 ren4dai4
细腻 xi4ni4
松懈 song1xie4
均匀 jun1yun2
狭隘 xia2ai4
垄断 long3duan4
俯冲 fu3chong1
仲裁 zhong4cai2
腋窝 ye4wo1
白鲸 bai2jing1
崎岖 qi2qu1
戛纳 jia2na4
官邸 guan1di3
躺椅 tang3yi3
嘀咕 di2gu5
昏厥 hun1jue2
媲美 pi4mei3
会晤 hui4wu4
媳妇 xi2fu4
充沛 chong1pei4
痔疮 zhi4chuang1
浩劫 hao4jie2
迂回 yu1hui2
俯瞰 fu3kan4
锅炉 guo1lu2
日渐 ri4jian4
涡轮 wo1lun2
栖身 qi1shen1
修缮 xiu1shan4
山芋 shan1yu4
甘蔗 gan1zhe5
镊子 nie4zi5
害臊 hai4sao4
眼睑 yan3jian3
篓子 lou3zi5
刁难 diao1nan4
叫嚷 jiao4rang3
荒芜 huang1wu2
内讧 nei4hong4
点缀 dian3zhui4
冰锥 bing1zhui1
苦涩 ku3se4
熨斗 yun4dou3
河畔 he2pan4
茴香 hui2xiang1
萨莉 sa4li4
嘱咐 zhu3fu4
吐露 tu3lu4
蝌蚪 ke1dou3
蜷缩 quan2suo1
陵墓 ling2mu4
撰写 zhuan4xie3
篮筐 lan2kuang1
凋谢 diao1xie4
蟒蛇 mang3she2
阳痿 yang2wei3
掌舵 zhang3duo4
彷徨 pang2huang2
血栓 xue4shuan1
花絮 hua1xu4
芹菜 qin2cai4
屹立 yi4li4
咕哝 gu1nong5
刘海 liu2hai3
闺房 gui1fang2
蹄子 ti2zi5
孝顺 xiao4shun4
铜板 tong2ban3
窈窕 yao3tiao3
胫骨 jing4gu3
倔强 jue2jiang4
洋溢 yang2yi4
和弦 he2xian2
皈依 gui1yi1
绒毛 rong2mao2
隔膜 ge2mo2
残渣 can2zha1
窘境 jiong3jing4
新颖 xin1ying3
淤泥 yu1ni2
琥珀 hu3po4
石榴 shi2liu5
干涸 gan1he2
趾甲 zhi3jia3
擦拭 ca1shi4
腼腆 mian3tian3
信贷 xin4dai4
蚂蚱 ma4zha5
朴素 pu3su4
瘪三 bie1san1
雪崩 xue3beng1
星辰 xing1chen2
黏糊 nian2hu5
杠杆 gang4gan3
开辟 kai1pi4
招揽 zhao1lan3
篇章 pian1zhang1
飘逸 piao1yi4
箴言 zhen1yan2
液氮 ye4dan4
猛犸 meng3ma3
框架 kuang4jia4
搪塞 tang2se4
蚯蚓 qiu1yin3
冰雹 bing1bao2
肌腱 ji1jian4
谁知 shei2zhi1
茅屋 mao2wu1
鳕鱼 xue3yu2
罂粟 ying1su4
貂皮 diao1pi2
跋涉 ba2she4
深邃 shen1sui4
逃窜 tao2cuan4
鳗鱼 man2yu2
依偎 yi1wei1
疙瘩 ge1da5
搀和 chan1huo5
迄今 qi4jin1
吊唁 diao4yan4
噎住 ye1zhu4
崽子 zai3zi5
芙蓉 fu2rong2
阴霾 yin1mai2
倘若 tang3ruo4
火坑 huo3keng1
蚊帐 wen2zhang4
体恤 ti3xu4
猿人 yuan2ren2
悄然 qiao3ran2
硅胶 gui1jiao1
澎湃 peng2pai4
蜕变 tui4bian4
莅临 li4lin2
亲昵 qin1ni4
飙升 biao1sheng1
乙醇 yi3chun2
甄选 zhen1xuan3
枫叶 feng1ye4
天籁 tian1lai4
恪守 ke4shou3
戈尔 ge1er3
水泵 shui3beng4
鲤鱼 li3yu2
端倪 duan1ni2
炽热 chi4re4
灌溉 guan4gai4
杂烩 za2hui4
瓢虫 piao2chong2
痢疾 li4ji5
跺脚 duo4jiao3
烘焙 hong1bei4
碳酸 tan4suan1
裤衩 ku4cha3
汲取 ji2qu3
晦气 hui4qi4
老挝 lao3wo1
炒作 chao3zuo4
矜持 jin1chi2
秃鹫 tu1jiu4
弧线 hu2xian4
伶俐 ling2li4
蛊惑 gu3huo4
萌芽 meng2ya2
波涛 bo1tao1
勘测 kan1ce4
寒暄 han2xuan1
嘟囔 du1nang5
宇航 yu3hang2
木屐 mu4ji1
跻身 ji1shen1
柳树 liu3shu4
苟同 gou3tong2
鱼竿 yu2gan1
海蜇 hai3zhe2
纰漏 pi1lou4
骏马 jun4ma3
蝗虫 huang2chong2
驰骋 chi2cheng3
俏皮 qiao4pi5
镶嵌 xiang1qian4
盎然 ang4ran2
调侃 tiao2kan3
盯梢 ding1shao1
哈桑 ha1sang1
倚靠 yi3kao4
劈叉 pi3cha4
蕴含 yun4han2
遏制 e4zhi4
手绢 shou3juan4
耕种 geng1zhong4
摒弃 bing4qi4
匍匐 pu2fu2
椭圆 tuo3yuan2
特邀 te4yao1
止咳 zhi3ke2
獠牙 liao2ya2
榆树 yu2shu4
芦笋 lu2sun3
拂晓 fu2xiao3
颈椎 jing3zhui1
榔头 lang2tou5
麝香 she4xiang1
轻佻 qing1tiao1
昼夜 zhou4ye4
鲱鱼 fei1yu2
诙谐 hui1xie2
砂锅 sha1guo1
鲈鱼 lu2yu2
锡纸 xi1zhi3
柿子 shi4zi5
窟窿 ku1long5
铠甲 kai3jia3
璀璨 cui3can4
耸肩 song3jian1
喷洒 pen1sa3
缎带 duan4dai4
魁梧 kui2wu2
眼眶 yan3kuang4
娴熟 xian2shu2
胆碱 dan3jian3
泥泞 ni2ning4
蟹肉 xie4rou4
胳臂 ge1bei5
苜蓿 mu4xu5
佳肴 jia1yao2
魂魄 hun2po4
蛆虫 qu1chong2
重磅 zhong4bang4
诧异 cha4yi4
阎王 yan2wang2
器皿 qi4min3
蚕食 can2shi2
馒头 man2tou5
木筏 mu4fa2
忌讳 ji4hui4
悸动 ji4dong4
柑橘 gan1ju2
圣贤 sheng4xian2
大纲 da4gang1
下颌 xia4he2
门闩 men2shuan1
荞麦 qiao2mai4
洗涤 xi3di2
吸吮 xi1shun3
遨游 ao2you2
棱角 leng2jiao3
揣测 chuai3ce4
湮灭 yin1mie4
缰绳 jiang1sheng2
污垢 wu1gou4
蹲点 dun1dian3
蹒跚 pan2shan1
讥讽 ji1feng3
氢气 qing1qi4
鞑靼 da2da2
擂台 lei4tai2
桅杆 wei2gan1
雏菊 chu2ju2
麒麟 qi2lin2
牟利 mou2li4
愤慨 fen4kai3
粗犷 cu1guang3
福祉 fu2zhi3
淀粉 dian4fen3
砒霜 pi1shuang1
震慑 zhen4she4
柚子 you4zi5
蔚蓝 wei4lan2
丙酮 bing3tong2
牙龈 ya2yin2
刮脸 gua1lian3
渲染 xuan4ran3
哄骗 hong3pian4
掮客 qian2ke4
茁壮 zhuo2zhuang4
蜜饯 mi4jian4
发酵 fa1jiao4
小憩 xiao3qi4
鬓角 bin4jiao3
双眸 shuang1mou2
囤积 tun2ji1
祭奠 ji4dian4
凹陷 ao1xian4
客栈 ke4zhan4
浩瀚 hao4han4
菱形 ling2xing2
傧相 bin1xiang4
生姜 sheng1jiang1
馄饨 hun2tun5
纺织 fang3zhi1
杏子 xing4zi5
麾下 hui1xia4
煞车 sha1che1
峭壁 qiao4bi4
哺乳 bu3ru3
波澜 bo1lan2
邓迪 deng4di2
臆想 yi4xiang3
甲醛 jia3quan2
攫取 jue2qu3
咸肉 xian2rou4
喧哗 xuan1hua2
臃肿 yong1zhong3
蚜虫 ya2chong2
划桨 hua2jiang3
夭折 yao1zhe2
蝉联 chan2lian2
肺腑 fei4fu3
蚱蜢 zha4meng3
黝黑 you3hei1
作梗 zuo4geng3
花卉 hua1hui4
膝下 xi1xia4
茸毛 rong2mao2
殷勤 yin1qin2
妩媚 wu3mei4
吟唱 yin2chang4
镣铐 liao4kao4
弹匣 dan4xia2
踌躇 chou2chu2
耳屎 er3shi3
贮藏 zhu4cang2
侯爵 hou2jue2
吱声 zhi1sheng1
静谧 jing4mi4
姘头 pin1tou5
锡箔 xi1bo2
扁平 bian3ping2
孑然 jie2ran2
味蕾 wei4lei3
猖獗 chang1jue2
乃至 nai3zhi4
坏疽 huai4ju1
磷酸 lin2suan1
胡诌 hu2zhou1
徜徉 chang2yang2
甭管 beng2guan3
斟酌 zhen1zhuo2
苔藓 tai2xian3
氨基 an1ji1
凸显 tu1xian3
发痒 fa1yang3
中旬 zhong1xun2
耙子 pa2zi5
撬棍 qiao4gun4
秒表 miao3biao3
膳食 shan4shi2
涟漪 lian2yi1
耕耘 geng1yun2
蒸馏 zheng1liu2
匮乏 kui4fa2
热忱 re4chen2
瓦砾 wa3li4
慵懒 yong1lan3
乾坤 qian2kun1
绚丽 xuan4li4
憋气 bie1qi4
玄机 xuan2ji1
缔造 di4zao4
陡峭 dou3qiao4
甲苯 jia3ben3
夙愿 su4yuan4
焕发 huan4fa1
猝死 cu4si3
调羹 tiao2geng1
舅妈 jiu4ma1
迥异 jiong3yi4
自诩 zi4xu3
鲍鱼 bao4yu2
衣裳 yi1shang5
牡丹 mu3dan5
广袤 guang3mao4
桉树 an1shu4
造诣 zao4yi4
湍流 tuan1liu2
积攒 ji1zan3
吆喝 yao1he5
暹粒 xian1li4
鹈鹕 ti2hu2
哆嗦 duo1suo5
瞥见 pie1jian4
衙门 ya2men5
节俭 jie2jian3
茂盛 mao4sheng4
风靡 feng1mi3
辽阔 liao2kuo4
掰开 bai1kai1
揪心 jiu1xin1
晨曦 chen2xi1
反刍 fan3chu2
氯气 lü4qi4
搂抱 lou3bao4
凉亭 liang2ting2
老茧 lao3jian3
踱步 duo2bu4
谩骂 man4ma4
鼎盛 ding3sheng4
瞪眼 deng4yan3
矗立 chu4li4
泔水 gan1shui3
豆荚 dou4jia2
晾干 liang4gan1
咬牙 yao3ya2
狂吠 kuang2fei4
怠慢 dai4man4
瞑目 ming2mu4
揩油 kai1you2
嚼舌 jiao2she2
锄头 chu2tou5
吭声 keng1sheng1
蜉蝣 fu2you2
狰狞 zheng1ning2
跛子 bo3zi5
遐想 xia2xiang3
俱全 ju4quan2
白杨 bai2yang2
函数 han2shu4
树荫 shu4yin1
乖巧 guai1qiao3
博弈 bo2yi4
俳句 pai2ju4
赡养 shan4yang3
戏谑 xi4xue4
腓骨 fei2gu3
荡漾 dang4yang4
斋戒 zhai1jie4
屡次 lü3ci4
眺望 tiao4wang4
硝烟 xiao1yan1
毁谤 hui3bang4
蜿蜒 wan1yan2
刺猬 ci4wei5
摇曳 yao2ye4
泼辣 po1la5
蜈蚣 wu2gong1
亘古 gen4gu3
高跷 gao1qiao1
糅合 rou2he2
蛀虫 zhu4chong2
凤梨 feng4li2
榛子 zhen1zi5
掂量 dian1liang5
赊账 she1zhang4
地幔 di4man4
嗤笑 chi1xiao4
鸿沟 hong2gou1
悖论 bei4lun4
蛔虫 hui2chong2
犒劳 kao4lao2
匈奴 xiong1nu2
山寨 shan1zhai4
山峦 shan1luan2
啜泣 chuo4qi4
穆迪 mu4di2
砧板 zhen1ban3
筵席 yan2xi2
磐石 pan2shi2
迎娶 ying2qu3
蝾螈 rong2yuan2
污浊 wu1zhuo2
咫尺 zhi3chi3
深谙 shen1an1
佯装 yang2zhuang1
铰链 jiao3lian4
龅牙 bao1ya2
胭脂 yan1zhi1
砝码 fa3ma3
爪哇 zhao3wa1
缺憾 que1han4
磋商 cuo1shang1
忸怩 niu3ni2
咯吱 ge1zhi1
小卒 xiao3zu2
缜密 zhen3mi4
翘首 qiao2shou3
乙烯 yi3xi1
沧桑 cang1sang1
绦虫 tao1chong2
谄媚 chan3mei4
褴褛 lan2lü3
缭绕 liao2rao4
殡葬 bin4zang4
恣意 zi4yi4
琵琶 pi2pa5
黯然 an4ran2
犄角 ji1jiao3
刨冰 bao4bing1
病灶 bing4zao4
毗邻 pi2lin2
牦牛 mao2niu2
仕途 shi4tu2
讹诈 e2zha4
牛犊 niu2du2
耷拉 da1la5
燧石 sui4shi2
芦苇 lu2wei3
亲朋 qin1peng2
庐山 lu2shan1
鱼鳞 yu2lin2
涣散 huan4san4
疖子 jie1zi5
噘嘴 jue1zui3
褒义 bao1yi4
孱弱 chan2ruo4
笃信 du3xin4
揶揄 ye2yu2
糜烂 mi2lan4
瞻仰 zhan1yang3
土窑 tu3yao2
玲珑 ling2long2
敦促 dun1cu4
拖沓 tuo1ta4
藿香 huo4xiang1
锃亮 zeng4liang4
拮据 jie2ju1
磺胺 huang2an4
坟地 fen2di4
灵柩 ling2jiu4
美玲 mei3ling2
弩弓 nu3gong1
胴体 dong4ti3
稽查 ji1cha2
贫瘠 pin2ji2
诘问 jie2wen4
啊哟 a1yo5
铆钉 mao3ding1
发簪 fa4zan1
粘贴 zhan1tie1
馋嘴 chan2zui3
淳朴 chun2pu3
老鸨 lao3bao3
痰盂 tan2yu2
矢量 shi3liang4
萤火 ying2huo3
豆蔻 dou4kou4
拾掇 shi2duo5
聒噪 guo1zao4
稠密 chou2mi4
泯灭 min3mie4
襁褓 qiang3bao3
缤纷 bin1fen1
哗啦 hua1la1
突兀 tu1wu4
信笺 xin4jian1
公顷 gong1qing3
秋葵 qiu1kui2
推诿 tui1wei3
雍容 yong1rong2
岂止 qi3zhi3
蓖麻 bi4ma2
莨菪 lang4dang4
槟榔 bing1lang5
欺瞒 qi1man2
无垠 wu2yin2
暴戾 bao4li4
皎洁 jiao3jie2
被褥 bei4ru4
桥墩 qiao2dun1
玛瑙 ma3nao3
桡骨 rao2gu3
芫荽 yan2sui5
弑父 shi4fu4
阔佬 kuo4lao3
嫡系 di2xi4
修葺 xiu1qi4
娇嫩 jiao1nen5
下榻 xia4ta4
昌盛 chang1sheng4
阿爸 a1ba4
胸襟 xiong1jin1
糟粕 zao1po4
云杉 yun2shan1
翌日 yi4ri4
髋骨 kuan1gu3
菊苣 ju2ju4
燎原 liao2yuan2
癔病 yi4bing4
香菇 xiang1gu1
请缨 qing3ying1
疆土 jiang1tu3
芜菁 wu2jing1
箩筐 luo2kuang1
唐璜 tang2huang2
挑拣 tiao1jian3
磨砺 mo2li4
铝箔 lü3bo2
欺侮 qi1wu3
花圃 hua1pu3
马镫 ma3deng4
娄子 lou2zi5
鬃毛 zong1mao2
擒获 qin2huo4
揉搓 rou2cuo5
檀香 tan2xiang1
蛰伏 zhe2fu2
禀告 bing3gao4
川崎 chuan1qi2
商榷 shang1que4
踉跄 liang4qiang4
惊骇 jing1hai4
炊事 chui1shi4
毋庸 wu2yong1
电镀 dian4du4
寒碜 han2chen5
棒槌 bang4chui2
荼毒 tu2du2
凛冽 lin3lie4
临摹 lin2mo2
莲藕 lian2ou3
自恃 zi4shi4
衣钵 yi1bo1
仙鹤 xian1he4
蜀葵 shu3kui2
亟需 ji2xu1
淋漓 lin2li2
香醇 xiang1chun2
丰腴 feng1yu2
军饷 jun1xiang3
泪腺 lei4xian4
截瘫 jie2tan1
酚酞 fen1tai4
搔痒 sao1yang3
泥鳅 ni2qiu5
恬静 tian2jing4
懵懂 meng3dong3
鞭笞 bian1chi1
日晷 ri4gui3
堤岸 di1an4
白垩 bai2e4
鏖战 ao2zhan4
发髻 fa4ji4
涤纶 di2lun2
奴婢 nu2bi4
樵夫 qiao2fu1
俨然 yan3ran2
乙醚 yi3mi2
羟基 qiang3ji1
秉性 bing3xing4
沉湎 chen2mian3
粽子 zong4zi5
楔子 xie1zi5
旮旯 ga1la2
夺魁 duo2kui2
殒命 yun3ming4
靛蓝 dian4lan2
鸬鹚 lu2ci2
低洼 di1wa1
堆砌 dui1qi4
髂骨 qia4gu3
开垦 kai1ken3
晶莹 jing1ying2
激酶 ji1mei2
簇拥 cu4yong1
痤疮 cuo2chuang1
荔枝 li4zhi1
梵文 fan4wen2
结痂 jie2jia1
榕树 rong2shu4
阿訇 a1hong1
脚蹼 jiao3pu3
哼唱 heng1chang4
耦合 ou3he2
轱辘 gu1lu4
小觑 xiao3qu4
悲恸 bei1tong4
佃农 dian4nong2
蝼蚁 lou2yi3
拗口 ao4kou3
肱骨 gong1gu3
子嗣 zi3si4
呢喃 ni2nan2
蝶泳 die2yong3
寂寥 ji4liao2
偌大 ruo4da4
雷霆 lei2ting2
狡黠 jiao3xia2
恫吓 dong4he4
麦麸 mai4fu1
竣工 jun4gong1
乙炔 yi3que1
摈弃 bin4qi4
船舷 chuan2xian2
岘港 xian4gang3
腌制 yan1zhi4
木讷 mu4ne4
骶骨 di3gu3
笤帚 tiao2zhou5
暮色 mu4se4
麂皮 ji3pi2
樟脑 zhang1nao3
账簿 zhang4bu4
黄疸 huang2dan3
围剿 wei2jiao3
铜锣 tong2luo2
暴晒 bao4shai4
盘踞 pan2ju4
县长 xian4zhang3
鬣狗 lie4gou3
斟酒 zhen1jiu3
罹难 li2nan4
糨糊 jiang4hu5
膈膜 ge2mo2
联袂 lian2mei4
锉刀 cuo4dao1
桦树 hua4shu4
苍穹 cang1qiong2
愤懑 fen4men4
稀粥 xi1zhou1
糯米 nuo4mi3
鳗鲡 man2li2
枣子 zao3zi5
情愫 qing2su4
抓阄 zhua1jiu1
腭裂 e4lie4
边陲 bian1chui2
悲怆 bei1chuang4
山岭 shan1ling3
市侩 shi4kuai4
痱子 fei4zi5
蹬腿 deng1tui3
桎梏 zhi4gu4
胼胝 pian2zhi1
惊愕 jing1e4
斡旋 wo4xuan2
船舶 chuan2bo2
忌惮 ji4dan4
乍得 zha4de2
坯子 pi1zi5
甬道 yong3dao4
罅隙 xia4xi4
甚或 shen4huo4
嘶哑 si1ya3
跋扈 ba2hu4
磕头 ke1tou2
神龛 shen2kan1
遛弯 liu4wan1
苯酚 ben3fen1
粤语 yue4yu3
石蕊 shi2rui3
龋齿 qu3chi3
巾帼 jin1guo2
祠堂 ci2tang2
旭日 xu4ri4
鄙夷 bi3yi2
铿锵 keng1qiang1
妻妾 qi1qie4
疥疮 jie4chuang1
咣当 guang1dang1
啄食 zhuo2shi2
聚酯 ju4zhi3
牛蒡 niu2bang4
惆怅 chou2chang4
落寞 luo4mo4
呓语 yi4yu3
豆豉 dou4chi3
笑靥 xiao4ye4
不啻 bu4chi4
昭雪 zhao1xue3
官吏 guan1li4
猕猴 mi2hou2
砚台 yan4tai2
汪洋 wang1yang2
肩胛 jian1jia3
伫立 zhu4li4
昆汀 kun1ting1
氰酸 qing2suan1
镂空 lou4kong1
钙化 gai4hua4
嘟哝 du1nong5
门楣 men2mei2
谗言 chan2yan2
儒雅 ru2ya3
轶闻 yi4wen2
废黜 fei4chu4
毡子 zhan1zi5
哽咽 geng3ye4
幡然 fan1ran2
自刎 zi4wen3
坩埚 gan1guo1
倩影 qian4ying3
和煦 he2xu4
鼻窦 bi2dou4
忐忑 tan3te4
斑鸠 ban1jiu1
熙攘 xi1rang3
招徕 zhao1lai2
插秧 cha1yang1
缪斯 miu4si1
高粱 gao1liang2
盘桓 pan2huan2
掳掠 lu3lüe4
誊写 teng2xie3
老妪 lao3yu4
