我 wo3  "戈 ge1, 弋 yi4" 0 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
婶婶 shen3shen5 wife of father's younger brother; aunt
婶子 shen3zi5 (coll.) father's younger brother's wife; aunt"
粮 liang2 梁凉椋𫟅良辌粱俍墚 "米 mi3, 良 liang2, 木 mu4, 十 shi2, 艮 gen3" 2624 "粮食 干粮 口粮 粮农" "粮 liang2 grain; food; provisions; agricultural tax paid in grain
粮食 liang2shi5 foodstuff; cereals
干粮 gan1liang2 rations (to take on expedition)
口粮 kou3liang2 ration
粮农 liang2nong2 food and agriculture; grain farmer"
溅 jian4 健箭键槛谏见荐饯贱楗𬣡渐僭腱踺毽剑涧牮件建舰鉴践 "氵 shui3, 贱 jian4, ㇀ ti2, 贝 bei4, 戋 jian1, 人 ren2, 戈 ge1, 弋 yi4" 2625 "飞溅 四溅" "溅 jian4 to splash
飞溅 fei1jian4 to splash; to spatter
四溅 si4jian4 (of droplets, sparks etc) to fly about in all directions; to splatter everywhere"
拌 ban4 柈半瓣扮绊靽湴办伴 "扌 shou3, 半 ban4, ㇀ ti2, 二 er4" 2626 "搅拌 凉拌" "拌 ban4 to mix; to mix in; to toss (a salad)
搅拌 jiao3ban4 to stir; to agitate
凉拌 liang2ban4 salad with dressing; cold vegetables dressed with sauce (e.g. coleslaw)"
髓 sui3  "骨 gu3, 冖 mi4, 辶 chuo4, 左 zuo3, 月 yue4, 工 gong1" 2627 "精髓 骨髓 脊髓" "髓 sui3 marrow; essence; quintessence; pith (soft interior of plant stem)
精髓 jing1sui3 marrow; pith; quintessence; essence
骨髓 gu3sui3 bone marrow (medulla ossea)
脊髓 ji3sui3 spinal cord; medulla spinalis"
吩 fen1 纷棻氛翂分芬酚 "口 kou3, 分 fen1, 八 ba1, 刀 dao1" 2628  "吩 fen1 leave instructions; to order"
剔 ti1 锑䏲擿䴘踢梯 "易 yi4, 刂 dao1, 日 ri4, 勿 wu4, 囗 wei2" 2629 "挑剔 剔除" "剔 ti1 to scrape the meat from bones; to pick (teeth etc); to weed out
挑剔 tiao1ti5 picky; fussy
剔除 ti1chu2 to reject; to discard; to get rid of"
鞭 bian1 编煸笾边鳊砭萹蝙 "革 ge2, 便 bian4, 更 geng4, 日 ri4, 乂 yi4, 囗 wei2" 2630 "鞭炮 鞭子 鞭策 皮鞭" "鞭 bian1 whip or lash; to flog; to whip; conductor's baton; penis (of animal, served as food)
鞭炮 bian1pao4 firecrackers; string of small firecrackers
鞭子 bian1zi5 whip
鞭策 bian1ce4 to spur on; to urge on; to encourage sb (e.g. to make progress)
皮鞭 pi2bian1 lash"
茎 jing1 猄精兢荆经鼱鲸晶菁䴖惊泾麖腈粳京睛旌 "艹 cao3, 圣 ku1, 十 shi2, 又 you4, 土 tu3" 2631 阴茎 "茎 jing1 stalk; stem
阴茎 yin1jing1 penis"
竖 shu4 𬬸戍墅述隃腧术沭澍数恕庶束树漱 "立 li4, 又 you4, 亠 tou2" 2632 "竖起 竖立 横竖 竖琴" "竖 shu4 to erect; vertical; vertical stroke (in chinese characters)
竖起 shu4qi3 to erect (a tent etc); to prick up (one's ears); to raise (one's eyebrows); to stick up (one's thumb); to turn up (one's collar); (of a bird) to puff up (one's feathers)
竖立 shu4li4 to erect; to set upright; to stand
横竖 heng2shu5 anyway
竖琴 shu4qin2 harp"
枯 ku1 圐哭刳骷窟矻 "木 mu4, 古 gu3, 十 shi2, 口 kou3" 2633 "枯燥 枯萎 干枯 枯竭" "枯 ku1 dried up
枯燥 ku1zao4 dry and dull; uninteresting; dry-as-dust
枯萎 ku1wei3 to wilt; to wither; wilted; withered; drained; enervated; exhausted
干枯 gan1ku1 withered; dried up
枯竭 ku1jie2 used up; dried up; exhausted (of resources)"
凰 huang2 锽癀蟥遑徨𨱑瑝篁惶蝗皇煌璜潢黄艎媓湟喤簧鳇隍 "皇 huang2, 白 bai2, 王 wang2, 日 ri4, 囗 wei2, 土 tu3, 十 shi2" 2634 凤凰 "凰 huang2 phoenix
凤凰 feng4huang2 phoenix"
椎 zhui1 骓追锥隹 "木 mu4, 隹 zhui1, 十 shi2, 亠 tou2, 土 tu3" 2635 "颈椎 脊椎 腰椎" "椎 chui2 a hammer
颈椎 jing3zhui1 cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals
脊椎 ji3zhui1 vertebra; backbone
腰椎 yao1zhui1 lumbar vertebra (lower backbone)"
勉 mian3 沔腼勔缅愐丏偭冕渑𩾃免湎娩 "免 mian3, 力 li4, ⺈ yi4, 口 kou3" 2636 "勉强 勉励 勤勉 勉力" "勉 mian3 to exhort; to make an effort
勉强 mian3qiang3 to do with difficulty; to force sb to do sth; reluctant; barely enough
勉励 mian3li4 to encourage
勤勉 qin2mian3 diligence; diligent; industrious
勉力 mian3li4 to strive; to make an effort; to exert oneself"
燕 yan1 恹淹漹崦腌焉鄢湮嫣阏墕阉胭烟 "廿 nian4, 北 bei3, 口 kou3, 灬 huo3, 卄 nian4, 十 shi2, ㇀ ti2, 匕 bi3" 2637 "燕子 燕京 燕窝 燕山" "燕 yan1 yan, a vassal state of zhou in modern hebei and liaoning; north hebei
燕子 yan4zi5 swallow
燕京 yan1jing1 yanjing, an old name for beijing; capital of yan at different periods
燕窝 yan4wo1 edible bird's nest
燕山 yan1shan1 yan mountain range across north hebei"
嗜 shi4 视媞筮式谥事室舐栻恃噬逝弑士誓柿轼示襫侍䏡适世市 "口 kou3, 耆 qi2, 老 lao3, 日 ri4, 匕 bi3, 土 tu3, 十 shi2, 囗 wei2" 2638 "嗜好 嗜血" "嗜 shi4 addicted to; fond of; stem corresponding to -phil or -phile
嗜好 shi4hao4 hobby; indulgence; habit; addiction
嗜血 shi4xue4 bloodthirsty; bloodsucking; hemophile"
缚 fu4 覆附腹蝮负㳇父咐赴鲋赋馥讣付妇富赙驸复阜傅副 "纟 si1, 尃 fu1, ㇀ ti2, 甫 fu3, 寸 cun4" 2639 束缚 "缚 fu4 to bind; to tie
束缚 shu4fu4 to bind; to restrict; to tie; to commit; fetters"
挠 nao2 铙呶猱峱蛲硇 "扌 shou3, 尧 yao2, ㇀ ti2, 兀 wu4, 儿 er2" 2640 "阻挠 挠头" "挠 nao2 to scratch; to thwart; to yield
阻挠 zu3nao2 to thwart; to obstruct (sth)
挠头 nao2tou2 tricky; problematic; difficult; to scratch one's head (in puzzlement)"
嗷 ao2 鏖敖聱鳌獒遨廒嶅翱熬螯璈 "口 kou3, 敖 ao2, 士 shi4, 方 fang1, 攵 pu1, 十 shi2, 万 wan4, 𠂉 jiu3, 乂 yi4" 2641  "嗷 ao2 loud clamor; the sound of wailing"
崖 ya2 伢玡岈衙睚芽蚜堐牙涯琊 "山 shan1, 凵 kan3, 厂 chang3, 圭 gui1, 土 tu3, 十 shi2" 2642 "悬崖 山崖 崖壁" "崖 ya2 precipice; cliff
悬崖 xuan2ya2 precipice; overhanging cliff
山崖 shan1ya2 cliff
崖壁 ya2bi4 escarpment; precipice; cliff"
瘫 tan1 贪摊滩坍 "疒 ne4, 难 nan2, 广 guang3, ㇀ ti2, 厂 chang3, 又 you4, 隹 zhui1, 亠 tou2, 土 tu3, 十 shi2" 2643 "瘫痪 瘫软" "瘫 tan1 paralyzed
瘫痪 tan1huan4 paralysis; be paralyzed (body, transportation, etc)
瘫软 tan1ruan3 limp; weak"
飙 biao1 彪瘭骠幖飑骉儦藨熛镳杓镖膘瀌标 "猋 biao1, 风 feng1, 犬 quan3, 大 da4, 人 ren2" 2644 "飙升 狂飙" "飙 biao1 whirlwind; violent wind
飙升 biao1sheng1 to rise rapidly; to soar
狂飙 kuang2biao1 hurricane; violent reform or revolution; violent movement or force"
俯 fu3 拊黼抚𫖯辅㕮滏簠甫釜腑腐脯府斧 "府 fu3, 广 guang3, 付 fu4, 厂 chang3, 寸 cun4" 2645 "俯瞰 俯视 俯身 俯冲" "俯 fu3 to look down; to stoop
俯瞰 fu3kan4 to overlook; to look down from a height
俯视 fu3shi4 to overlook; to look down at
俯身 fu3shen1 to lean over; to bend over; to stoop; to bow
俯冲 fu3chong1 to dive down fast; to swoop down"
沫 mo4 瘼末茉貘莫𬙊寞漠蓦耱默秣镆貊靺陌墨殁 "氵 shui3, 末 mo4, ㇀ ti2, 木 mu4, 十 shi2" 2646 "泡沫 唾沫 白沫 吐沫" "沫 mo4 foam; suds
泡沫 pao4mo4 foam; (soap) bubble; (economic) bubble
唾沫 tuo4mo5 spittle; saliva
白沫 bai2mo4 froth; foam (coming from the mouth)
吐沫 tu4mo5 saliva; spittle"
喋 die2 昳谍叠𫶇瓞耋堞垤楪绖牒蹀迭碟鲽蝶 "口 kou3, 世 shi4, 木 mu4, 廿 nian4, 卄 nian4, 十 shi2" 2647  "喋 die2 flowing flood; to chatter"
亭 ting2 䗴霆婷蜓渟庭葶莛廷停 "亠 tou2, 口 kou3, 冖 mi4, 丁 ding1" 2648 "亭子 凉亭 岗亭" "亭 ting2 pavilion; booth; kiosk; erect
亭子 ting2zi5 pavilion
凉亭 liang2ting2 pavilion
岗亭 gang3ting2 sentry box; police box"
蒜 suan4 算 "艹 cao3, 十 shi2, 示 shi4, 二 er4, 小 xiao3, 八 ba1" 2649 大蒜 "蒜 suan4 garlic
大蒜 da4suan4 garlic"
焚 fen2 豮坟鼢棼汾𣸣 "林 lin2, 火 huo3, 木 mu4, 十 shi2, 人 ren2" 2650 "自焚 焚烧 焚毁 焚香" "焚 fen2 to burn
自焚 zi4fen2 self-immolation
焚烧 fen2shao1 to burn; to set on fire
焚毁 fen2hui3 to burn down; to destroy with fire; to burn down; to destroy with fire
焚香 fen2xiang1 to burn incense"
烹 peng1 抨砰嘭怦 "亨 heng1, 灬 huo3, 亠 tou2, 口 kou3, 了 le5" 2651 "烹饪 烹调 烹制" "烹 peng1 cooking method; to boil sb alive (capital punishment in imperial china)
烹饪 peng1ren4 cooking; culinary arts
烹调 peng1tiao2 to cook
烹制 peng1zhi4 to cook; to prepare (food)"
骸 hai2 孩 "骨 gu3, 亥 hai4, 冖 mi4, 亠 tou2, 人 ren2" 2652 残骸 "骸 hai2 bones of the body
残骸 can2hai2 remains; wreckage"
磕 ke1 棵颏柯科牁髁窠疴坷轲蝌匼颗苛珂嗑瞌稞 "石 dan4, 盍 he2, 口 kou3, 去 qu4, 皿 min3, 土 tu3, 厶 si1, 十 shi2" 2653 磕头 "磕 ke1 to tap; to knock (against sth hard); to knock (mud from boots, ashes from a pipe etc)
磕头 ke1tou2 to kowtow (traditional greeting, esp. to a superior, involving kneeling and pressing one's forehead to the ground)"
寇 kou4 叩扣蔻筘 "宀 mian2, 元 yuan2, 攴 pu1, 冖 mi4, 兀 wu4, 儿 er2, 又 you4" 2654  "寇 kou4 to invade; to plunder; bandit; foe; enemy"
庙 miao4 缪妙 "广 guang3, 由 you2, 厂 chang3, 日 ri4, 囗 wei2" 2655 "寺庙 神庙 庙宇 庙会" "庙 miao4 temple; ancestral shrine; temple fair; great imperial hall; imperial
寺庙 si4miao4 temple; monastery; shrine
神庙 shen2miao4 temple
庙宇 miao4yu3 temple
庙会 miao4hui4 temple fair"
颇 po1 钋泼坡酦䥽 "皮 pi2, 页 ye4, 又 you4, 贝 bei4, 人 ren2" 2656 "颇为 偏颇" "颇 po1 rather; quite; considerably; oblique; inclined; slanting
颇为 po1wei2 rather; quite
偏颇 pian1po1 biased; partial"
羡 xian4 献宪𬀪县霰岘陷腺𪾢苋限线馅缐现 "次 ci4, 土 tu3, 十 shi2, 欠 qian4, ㇀ ti2, ⺈ yi4, 人 ren2" 2657 "羡慕 艳羡" "羡 xian4 to envy
羡慕 xian4mu4 to envy; to admire
艳羡 yan4xian4 to envy; to admire"
哮 xiao4 校笑滧啸效涍肖孝敩 "口 kou3, 孝 xiao4, 子 zi5, 土 tu3, 十 shi2, 了 le5" 2658 "咆哮 哮喘" "哮 xiao4 pant; roar; bark (of animals)
咆哮 pao2xiao4 (of beasts of prey, torrents of water, a person in a rage etc) to roar
哮喘 xiao4chuan3 asthma"
髦 mao2 旄矛蝥锚牦茅毛茆蟊 "髟 biao1, 毛 mao2, 彡 shan1, 三 san1, 二 er4, 厶 si1" 2659 时髦 "髦 mao2 bang (hair); fashionable; mane
时髦 shi2mao2 in vogue; fashionable"
赃 zang1 牂臧脏 "贝 bei4, 庄 zhuang1, 人 ren2, 广 guang3, 土 tu3, 厂 chang3, 十 shi2" 2660 "赃款 栽赃 赃物" "赃 zang1 stolen goods; loot; spoils
赃款 zang1kuan3 booty; stolen goods
栽赃 zai1zang1 to frame sb (by planting sth on them)
赃物 zang1wu4 booty; stolen property"
腻 ni4 睨𨺙匿逆昵溺 "月 yue4, 贰 er4, 弋 yi4, 二 er4, 贝 bei4, 人 ren2" 2661 "细腻 油腻 猫腻 腻味" "腻 ni4 greasy; soft; unctuous; intimate; tired of
细腻 xi4ni4 exquisite; meticulous
油腻 you2ni4 greasy food; oily food; (of food) greasy; oily; fatty; pretentious; vulgar
猫腻 mao1ni4 (coll.) something fishy; shenanigans
腻味 ni4wei5 tired of; fed up; sick; (of a person) to annoy; tiresome"
渎 du2 独犊髑毒黩牍椟读 "氵 shui3, 卖 mai4, ㇀ ti2, 十 shi2, 买 mai3, 头 tou2, 大 da4, 人 ren2" 2662 "亵渎 渎职" "渎 du2 disrespectful; (literary) ditch
亵渎 xie4du2 to blaspheme; to profane
渎职 du2zhi2 wrongdoing; failure to do one's duty"
溢 yi4 瘗峄𬬩𫄷勚㑊埸弋肄奕亦劓意镒薏轶杙忆翳毅癔羿怿屹 "氵 shui3, 益 yi4, ㇀ ti2, 八 ba1, 皿 min3" 2663 "洋溢 溢出 充溢 溢价" "溢 yi4 to overflow; (literary) excessive
洋溢 yang2yi4 brimming with; steeped in
溢出 yi4chu1 to overflow; to spill over; (computing) overflow
充溢 chong1yi4 to overflow (with riches); replete
溢价 yi4jia4 premium; to pay a premium"
掠 lüe4 锊略䂮圙 "扌 shou3, 京 jing1, ㇀ ti2, 亠 tou2, 口 kou3, 小 xiao3, 八 ba1" 2664 "掠过 掠夺 劫掠" "掠 lüe4 to take over by force; to rob; to plunder; to brush over; to skim; to sweep
掠过 lüe4guo4 to flit across; to sweep past; to glance (strike at an angle)
掠夺 lüe4duo2 to plunder; to rob
劫掠 jie2lüe4 to loot; to plunder"
陨 yun3 殒狁允 "员 yuan2, 口 kou3, 贝 bei4, 人 ren2" 2665 陨石 "陨 yun3 to fall; meteor; to perish
陨石 yun3shi2 meteorite; aerolite"
辖 xia2 遐峡翈黠瑕狭柙匣硖狎叚暇霞侠 "车 che1, 害 hai4, 十 shi2, 宀 mian2, 丰 feng1, 口 kou3, 冖 mi4, 三 san1, 二 er4" 2666 "管辖 辖区 下辖" "辖 xia2 linchpin (used to fasten a wheel to an axle); (bound form) to govern; to have jurisdiction over
管辖 guan3xia2 to administer; to have jurisdiction (over)
辖区 xia2qu1 administrative region
下辖 xia4xia2 administered by; under the rule of"
肪 fang2 防妨房鲂 "方 fang1, 万 wan4" 2667 脂肪 "肪 fang2 animal fat
脂肪 zhi1fang2 fat (in the body, in a plant, or in food)"
渗 shen4 慎肾椹蜃瘆胂甚 "氵 shui3, 参 can1, ㇀ ti2, 厶 si1, 大 da4, 彡 shan1, 人 ren2" 2668 "渗透 渗出 渗入 渗漏" "渗 shen4 to seep; to ooze; to horrify
渗透 shen4tou4 (lit. and fig.) to permeate; to seep into; (of a product, idea etc) to penetrate (in a population); (of hostile forces) to infiltrate; (chemistry) osmosis
渗出 shen4chu1 to seep out; to exude
渗入 shen4ru4 to permeate
渗漏 shen4lou4 seepage; leakage"
嘎 ga1 咖伽旮戛 "口 kou3, 戛 jia2, 戈 ge1, 自 zi4, 目 mu4, 囗 wei2, 弋 yi4" 2669 "嘎嘎 嘎吱" "嘎 ga2 cackling sound
嘎嘎 ga1ga1 honk; (northern dialect) very
嘎吱 ga1zhi1 crunch"
椰 ye1 掖耶噎倻 "木 mu4, 耶 ye1, 十 shi2, 耳 er3" 2670 "椰子 椰林" "椰 ye1 (bound form) coconut palm
椰子 ye1zi5 a coconut palm; a coconut
椰林 ye1lin2 coconut grove"
栗 li4 呖利历立莅𫵷笠励猁栎戾坜苈厉沥俐砾詈痢荔丽砺郦粒 "木 mu4, 口 kou3, 十 shi2" 2671 "栗子 战栗 板栗 栗色" "栗 li4 (literary) cold; chilly; (bound form) to tremble with fear; chestnut
栗子 li4zi5 chestnut
战栗 zhan4li4 to tremble; shudder
板栗 ban3li4 chinese chestnut
栗色 li4se4 maroon (color)"
蹭 ceng4  "曾 ceng2, 口 kou3, 止 zhi3" 2672 磨蹭 "蹭 ceng4 to rub against; to walk slowly; (coll.) to freeload
磨蹭 mo2ceng5 to rub lightly; to move slowly; to dawdle; to dillydally; to pester; to nag"
僚 liao2 嫽寮獠燎鹩聊寥潦橑漻嘹缭疗辽髎簝 "小 xiao3, 八 ba1" 2673 "官僚 幕僚 同僚" "僚 liao2 bureaucrat; colleague
官僚 guan1liao2 bureaucrat; bureaucracy; bureaucratic
幕僚 mu4liao2 aides and advisors of top officials
同僚 tong2liao2 colleague; coworker"
芳 fang1 蚄方邡钫枋牥坊 "艹 cao3, 方 fang1, 十 shi2, 万 wan4" 2674 "芬芳 芳香 雅芳" "芳 fang1 fragrant
芬芳 fen1fang1 perfume; fragrant
芳香 fang1xiang1 fragrant; aromatic; fragrance; aroma
雅芳 ya3fang1 avon (cosmetics company)"
柳 liu3 绺珋罶锍 "木 mu4, 卯 mao3, 十 shi2" 2675 "杨柳 柳树 柳州 柳条" "柳 liu3 willow
杨柳 yang2liu3 willow tree; poplar and willow; name of traditional tune
柳树 liu3shu4 willow
柳州 liu3zhou1 liuzhou prefecture-level city in guangxi
柳条 liu3tiao2 willow; willow branches; wicker (material for basketwork)"
靓 jing4 痉竞径婧竟胫镜境敬静净迳倞靖獍竫 "青 qing1, 见 jian4, 月 yue4, 土 tu3, 十 shi2, 儿 er2" 2676  "靓 jing4 to make up (one's face); to dress; (of one's dress) beautiful"
攀 pan1 潘 "樊 fan2, 手 shou3, 大 da4, 木 mu4, 爻 yao2, 十 shi2, 乂 yi4, 人 ren2" 2677 "攀登 攀升 攀谈 攀比" "攀 pan1 to climb (by pulling oneself up); to implicate; to claim connections of higher status
攀登 pan1deng1 to climb; to pull oneself up; to clamber; to scale; fig. to forge ahead in the face of hardships and danger
攀升 pan1sheng1 to clamber up; (of prices etc) to rise
攀谈 pan1tan2 to chat
攀比 pan1bi3 to make invidious comparisons; to compete with; to emulate"
勿 wu4 戊痦晤焐误物芴雾悟靰骛兀坞鹜鋈务屼寤婺杌  2678 切勿 "勿 wu4 do not
切勿 qie4wu4 by no means"
抉 jue2 龴玃倔谲㵐玦珏诀厥觖砄桷𫔎𫘝爵掘决崛孓蹶镢橛獗劂 "扌 shou3, 夬 guai4, ㇀ ti2, 大 da4, 人 ren2" 2679 抉择 "抉 jue2 to pick out; to single out
抉择 jue2ze2 to choose (literary)"
吴 wu2 鼯唔鹀浯毋吾郚梧峿铻珸芜蜈无 "口 kou3, 天 tian1, 大 da4, 人 ren2" 2680 "吴国 吴越" "吴 wu2 area comprising southern jiangsu, northern zhejiang and shanghai; name of states in southern china at different historical periods
吴国 wu2guo2 wu state (in south china, in different historical periods)
吴越 wu2yue4 states of south china in different historical periods; proverbially perpetual arch-enemies"
叭 ba1 八巴吧蚆疤捌羓岜鲃朳笆芭扒粑 "口 kou3, 八 ba1" 2681 喇叭 "叭 ba1 denote a sound or sharp noise (gunfire etc)
喇叭 la3ba5 horn (automobile etc); loudspeaker; brass wind instrument; trumpet"
撬 qiao4 俏峭诮鞘翘窍 "扌 shou3, 毳 cui4, ㇀ ti2, 毛 mao2, 二 er4" 2682  "撬 qiao4 to lift; to pry open; to lever open"
蚂 ma3 码玛马犸 "虫 chong2, 马 ma3, 中 zhong1, ㇀ ti2, 口 kou3" 2683 "蚂蚁 蚂蚱" "蚂 ma3 ant
蚂蚁 ma3yi3 ant
蚂蚱 ma4zha5 grasshopper"
歹 dai3 傣逮 "夕 xi1" 2684 "歹徒 好歹" "歹 dai3 bad; wicked; evil; kangxi radical 78
歹徒 dai3tu2 evildoer; malefactor; gangster; hoodlum
好歹 hao3dai3 good and bad; most unfortunate occurrence; in any case; whatever"
藉 ji2 吉汲嵴棘伋㴔蕺籍蒺辑级蹐佶岌即殛瘠堲集及疾嫉极鹡 "艹 cao3, 耤 ji2, 十 shi2, 耒 lei3, 昔 xi1, 未 wei4, 木 mu4, 日 ri4, 卄 nian4, 囗 wei2" 2685 "慰藉 狼藉" "藉 ji2 to insult; to walk all over (sb)
慰藉 wei4jie4 to console; to comfort
狼藉 lang2ji2 in a mess; scattered about; in complete disorder"
燥 zao4 躁造𥖨唣噪慥皂灶簉 "火 huo3, 喿 sao4, 人 ren2, 品 pin3, 木 mu4, 口 kou3, 十 shi2" 2686 "枯燥 干燥" "燥 zao4 dry; parched; impatient
枯燥 ku1zao4 dry and dull; uninteresting; dry-as-dust
干燥 gan1zao4 to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid"
斐 fei3 诽朏篚榧棐悱翡匪 "非 fei1, 文 wen2, 三 san1, 二 er4, 亠 tou2, 乂 yi4" 2687 斐济 "斐 fei3 phonetic fei or fi; elegant
斐济 fei3ji4 fiji, country in the southwest pacific ocean"
憋 bie1 鳖 "敝 bi4, 心 xin1, 攵 pu1, 巾 jin1, 八 ba1, 𠂉 jiu3, 乂 yi4" 2688 "憋闷 憋气" "憋 bie1 to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)
憋闷 bie1men5 to feel oppressed; to be depressed; to feel dejected
憋气 bie1qi4 to feel suffocated or oppressed; to choke with resentment; to feel injured or resentful"
颅 lu2 炉𬬻栌垆鸬鲈卢轳庐泸芦胪舻 "卢 lu2, 页 ye4, 尸 shi1, 贝 bei4, 人 ren2" 2689 头颅 "颅 lu2 forehead; skull
头颅 tou2lu2 head; skull"
喇 la3  "口 kou3, 剌 la2, 束 shu4, 刂 dao1, 木 mu4, 十 shi2" 2690 喇叭 "喇 la3 (phonetic)
喇叭 la3ba5 horn (automobile etc); loudspeaker; brass wind instrument; trumpet"
缴 jiao3 脚恔搅狡铰敫皎饺佼侥湫角剿绞璬皦 "纟 si1, 敫 jiao3, ㇀ ti2, 白 bai2, 方 fang1, 攵 pu1, 日 ri4, 囗 wei2, 万 wan4, 𠂉 jiu3, 乂 yi4" 2691 "缴纳 缴费 上缴 缴获" "缴 jiao3 to hand in; to hand over; to seize
缴纳 jiao3na4 to pay (taxes etc)
缴费 jiao3fei4 to pay a fee
上缴 shang4jiao3 to transfer (income, profits etc) to higher authorities
缴获 jiao3huo4 to capture; to seize"
郑 zheng4 正证政症挣怔诤 "关 guan1, 天 tian1, 大 da4, 人 ren2" 2692 "郑州 郑重" "郑 zheng4 zheng state during the warring states period
郑州 zheng4zhou1 zhengzhou, prefecture-level city and capital of henan province in central china
郑重 zheng4zhong4 serious; solemn; earnest; conscientious"
吟 yin2 崟夤訚鄞珢银龈垠龂硍霪寅淫狺嚚蟫 "口 kou3, 今 jin1" 2693 "呻吟 沉吟 吟唱 吟诗" "吟 yin2 to chant; to recite; to moan; to groan; cry (of certain animals and insects)
呻吟 shen1yin2 to moan; to groan
沉吟 chen2yin2 to mutter to oneself irresolutely
吟唱 yin2chang4 to chant; to recite
吟诗 yin2shi1 to recite poetry"
榴 liu2 疁鎏旒琉瘤留瑬鹠骝飗浏流镠馏刘镏硫 "木 mu4, 留 liu2, 十 shi2, 刀 dao1, 田 tian2, 囗 wei2" 2694 石榴 "榴 liu2 pomegranate
石榴 shi2liu5 pomegranate"
曹 cao2 艚槽螬漕嘈𥕢 "曲 qu1, 曰 yue1, 囗 wei2" 2695  "曹 cao2 zhou dynasty vassal state; class or grade; generation"
溶 rong2 熔榕戎茸荣蓉融蝾绒镕嵘狨容瑢 "氵 shui3, 容 rong2, ㇀ ti2, 宀 mian2, 谷 gu3, 冖 mi4, 八 ba1, 人 ren2, 口 kou3" 2696 "溶液 溶解 溶化 溶洞" "溶 rong2 to dissolve; soluble
溶液 rong2ye4 solution (chemistry)
溶解 rong2jie3 to dissolve
溶化 rong2hua4 to melt; to dissolve (of sugar etc)
溶洞 rong2dong4 (geology) solutional cave (typically, a limestone cave)"
螂 lang2 廊狼琅稂郎桹榔锒筤 "虫 chong2, 郎 lang2, 中 zhong1, ㇀ ti2, 口 kou3, 良 liang2, 艮 gen3" 2697 "蟑螂 螳螂" "螂 lang2 dragonfly; mantis
蟑螂 zhang1lang2 cockroach
螳螂 tang2lang2 mantis; praying mantis"
涅 nie4 𫔶蹑嵲镊糵陧颞聂嗫菍孽啮臬镍蘖 "氵 shui3, ㇀ ti2, 日 ri4, 土 tu3, 囗 wei2, 十 shi2" 2698  "涅 nie4 to blacken"
恺 kai3 垲慨蒈铠剀楷凯锴闿 "忄 xin1, 岂 qi3, 山 shan1, 己 ji3, 凵 kan3" 2699  "恺 kai3 joyful; kind"
碌 lu4 漉潞僇戮甪逯赂辂路勠辘琭璐稑渌麓露禄录绿鹭鹿簏陆 "石 dan4, 录 lu4, 口 kou3, 彐 ji4, 八 ba1" 2700 劳碌 "忙碌 mang2lu4 busy; bustling
劳碌 lao2lu4 to work hard; to toil"
娇 jiao1 郊鹪椒蛟浇交胶姣跤鲛艽骄燋焦礁僬䴔茭峧蕉 "女 nü3, 乔 qiao2, 夭 yao1, 大 da4, 人 ren2" 2701 "撒娇 娇小 娇嫩 娇艳" "娇 jiao1 lovable; pampered; tender; delicate; frail
撒娇 sa1jiao1 to act like a spoiled child; to throw a tantrum; to act coquettishly
娇小 jiao1xiao3 petite; delicate; dainty
娇嫩 jiao1nen5 tender and lovely; fragile; delicate
娇艳 jiao1yan4 tender and beautiful"
莽 mang3 漭蟒 "艹 cao3, 犬 quan3, 廾 gong3, 十 shi2, 大 da4, 人 ren2" 2702 "鲁莽 莽撞" "莽 mang3 thick weeds; luxuriant growth; illicium anisatum, a shrub with poisonous leaves; impertinent
鲁莽 lu3mang3 hot-headed; impulsive; reckless
莽撞 mang3zhuang4 rude and impetuous"
硕 shuo4 妁搠铄朔蒴烁槊 "石 dan4, 页 ye4, 口 kou3, 贝 bei4, 人 ren2" 2703 "硕士 硕大 华硕 丰硕" "硕 shuo4 large; big
硕士 shuo4shi4 master's degree; person who has a master's degree; learned person
硕大 shuo4da4 big; huge; massive
华硕 hua2shuo4 asus (computer manufacturer)
丰硕 feng1shuo4 plentiful; substantial; rich (in resources etc)"
蔓 man4 漫曼幔缦慢镘谩墁𬜬 "艹 cao3, 曼 man4, 十 shi2, 曰 yue1, 罒 wang3, 又 you4, 囗 wei2" 2704 "蔓延 藤蔓" "蔓 man2 turnip; brassica campestris
蔓延 man4yan2 to extend; to spread
藤蔓 teng2man4 vine"
孽 nie4 镍聂臬糵蘖嵲颞涅啮𫔶蹑陧菍镊嗫 "薛 xue1, 子 zi5, 艹 cao3, 辛 xin1, 十 shi2, 立 li4, 亠 tou2, 了 le5" 2705 "罪孽 作孽 造孽" "孽 nie4 son born of a concubine; disaster; sin; evil
罪孽 zui4nie4 sin; crime; wrongdoing
作孽 zuo4nie4 to sin
造孽 zao4nie4 to do evil; to commit sins"
滤 lü4 氯律虑葎垏 "氵 shui3, 虑 lü4, ㇀ ti2, 虍 hu1, 心 xin1, 七 qi1" 2706 过滤 "滤 lü4 to strain; to filter
过滤 guo4lü4 to filter; filter"
