的 de
了 le
尝试 chang2shi4 "to try; to attempt"
考核 kao3he2 "to examine; to check up on; to assess; to review; appraisal; review; evaluation"
核心 he2xin1 "core; nucleus"
渴 ke3 thirsty
渴望 ke3wang4 "to thirst for; to long for"
锁 suo3 "to lock; to lock up"
驻 zhu4 "to halt; to stay; to be stationed (of troops, diplomats etc)"
圆珠笔 yuan2zhu1bi3
珠宝 zhu1bao3 "pearls; jewels; precious stones"
鸡蛋 ji1dan4 "(chicken) egg; hen's egg"
蛋 dan4 "egg; oval-shaped thing"
琴 qin2 "musical instrument in general"
小麦 xiao3mai4 wheat
横 heng2 "horizontal; across; crosswise; horizontal stroke (in chinese characters); to place (sth) flat (on a surface); to cross (a river, etc); in a jumble; chaotic; (in fixed expressions) harsh and unreasonable; violent"
搬 ban1 "to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately"
搬家 ban1jia1 "to move house; to relocate; to remove (sth)"
醉 zui4 intoxicated
峰会 feng1hui4 "summit meeting"
高峰 gao1feng1 "peak; summit; height"
山峰 shan1feng1 "(mountain) peak"
脆 cui4 "brittle; fragile; crisp; crunchy; clear and loud voice; neat"
干脆 gan1cui4 "candid; direct and to the point; simply; just; might as well"
防 fang2 "to protect; to defend; to guard against; to prevent"
防止 fang2zhi3 "to prevent; to guard against; to take precautions"
防治 fang2zhi4 "to prevent and cure; prevention and cure"
消防 xiao1fang2 "firefighting; fire control"
防守 fang2shou3 "to defend; to protect (against)"
防范 fang2fan4 "to be on guard; wariness; to guard against; preventive"
电饭锅 dian4fan4guo1
锅 guo1 "pot; pan; wok; cauldron; pot-shaped thing"
按摩 an4mo2 "massage; to massage"
摩擦 mo2ca1 "friction; rubbing; chafing; fig. disharmony; conflict"
摩托 mo2tuo1 motorbike
差异 cha1yi4 "difference; discrepancy"
异常 yi4chang2 "unusual; abnormal; extremely; exceptionally"
变异 bian4yi4 variation
苹果 ping2guo3 apple
尾巴 wei3ba5 tail
新郎 xin1lang2 "bridegroom; groom"
特征 te4zheng1 "characteristic; diagnostic property; distinctive feature; trait"
征服 zheng1fu2 "to conquer; to subdue; to vanquish"
征求 zheng1qiu2 "to solicit; to seek; to request (opinions, feedback etc); to petition"
象征 xiang4zheng1 "emblem; symbol; token; badge; to symbolize; to signify; to stand for"
利润 li4run4 profits
烂 lan4 "soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly; crappy; bad"
掏 tao1 "to fish out (from pocket); to scoop"
早晨 zao3chen5
清晨 qing1chen2 "early morning"
祝福 zhu4fu2 "blessings; to wish sb well"
祝愿 zhu4yuan4 "to wish"
零 ling2 "zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither"
零下 ling2xia4 "below zero"
井 jing3 "jing, one of the 28 constellations of chinese astronomy; a well; neat; orderly"
肩 jian1 "shoulder; to shoulder (responsibilities etc)"
绕 rao4 "to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour"
围绕 wei2rao4 "to revolve around; to center on (an issue)"
梅花 mei2hua1 "plum blossom"
沿海 yan2hai3 coastal
沿 yan2 "along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge"
沿着 yan2zhe5 "to go along; to follow"
私人 si1ren2 "private; personal; interpersonal; sb with whom one has a close personal relationship; a member of one's clique"
走私 zou3si1 "to smuggle; to have an illicit affair"
盒饭 he2fan4 "meal in a partitioned box"
盒 he2 "small box; case"
盒子 he2zi5 "box; case"
牺牲 xi1sheng1 "to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice"
拨打 bo1da3 "to call; to dial"
扇 shan4 "fan; sliding, hinged or detachable flat part of sth; classifier for doors, windows etc"
扇子 shan4zi5 fan
爆 bao4 "to explode or burst; to quick fry or quick boil"
爆发 bao4fa1 "to break out; to erupt; to explode; to burst out"
爆冷门 bao4leng3men2
爆竹 bao4zhu2 firecracker
爆满 bao4man3 "filled to capacity (of theater, stadium, gymnasium etc)"
爆炸 bao4zha4 "explosion; to explode; to blow up; to detonate"
炸弹 zha4dan4 bomb
炸 zha4 "to burst; to explode; to blow up; (fig.) to fly into a rage"
炸药 zha4yao4 "explosive (material)"
宾馆 bin1guan3 "guesthouse; lodge; hotel"
嘉宾 jia1bin1 "esteemed guest; honored guest; guest (on a show)"
幻想 huan4xiang3 "delusion; fantasy"
变幻莫测 bian4huan4mo4ce4
税 shui4 "taxes; duties"
电视剧 dian4shi4ju4
话剧 hua4ju4 "stage play; modern drama"
剧本 ju4ben3 "script for play, opera, movie etc; screenplay; scenario"
喜剧 xi3ju4 comedy
戏剧 xi4ju4 "a drama; a play; theater; script of a play"
剧 ju4 "theatrical work (play, opera, tv series etc); dramatic (change, increase etc); acute; severe"
编剧 bian1ju4 "to write a play; scenario; dramatist; screenwriter"
煮 zhu3 "to cook; to boil"
挖 wa1 "to dig; to excavate; to scoop out"
感冒 gan3mao4 "to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); can't stand"
冒 mao4 "to emit; to give off; to send out (or up, forth); to brave; to face; reckless; to falsely adopt (sb's identity etc); to feign; (literary) to cover"
启动 qi3dong4 "to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan)"
启发 qi3fa1 "to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment; revelation; motivation"
启事 qi3shi4 "announcement (written, on billboard, letter, newspaper or website); to post information; a notice"
闲 xian2 "enclosure; unoccupied; leisure; idle; unoccupied; leisure"
休闲 xiu1xian2 "leisure; relaxation; not working; idle; to enjoy leisure; to lie fallow"
发怒 fa1nu4 "to get angry"
愤怒 fen4nu4 "angry; indignant; wrath; ire"
聘请 pin4qing3 "to engage; to hire (a lawyer etc)"
招聘 zhao1pin4 "to invite applications for a job; to recruit"
诸位 zhu1wei4 "(pron) everyone; ladies and gentlemen; sirs"
罢工 ba4gong1 "a strike; to go on strike"
罢了 ba4le5 "a modal particle indicating (that's all, only, nothing much)"
罢免 ba4mian3 "to remove sb from their post; to dismiss"
罢休 ba4xiu1 "to give up; to abandon (a goal etc); to let sth go; forget it; let the matter drop"
剩 sheng4 "to remain; to be left; to have as remainder"
剩下 sheng4xia5
嫌 xian2 "to dislike; suspicion; resentment; enmity"
胡同儿 hu2tong4
胡子 hu2zi5 "beard; mustache or whiskers; facial hair; (coll.) bandit"
滑 hua2 "to slip; to slide; slippery; smooth; sly; slippery; not to be trusted"
拼 pin1 "to piece together; to join together; to stake all; adventurous; at the risk of one's life; to spell"
拜访 bai4fang3 "to pay a visit; to call on"
礼拜 li3bai4 "to attend a religious service; (coll.) week; (coll.) sunday"
拜会 bai4hui4 "pay an official call; call on; visit in an official capacity"
拜年 bai4nian2 "to pay a new year call; to wish sb a happy new year"
拜托 bai4tuo1 "to request sb to do sth"
拜见 bai4jian4 "to pay a formal visit; to call to pay respects; to meet one's senior or superior"
孙子 sun1zi5 "grandson; son's son"
孙女 sun1nü5
山谷 shan1gu3 "valley; ravine"
疾病 ji2bing4 "disease; sickness; ailment"
国籍 guo2ji2 nationality
灰色 hui1se4 "gray; ash gray; grizzly; pessimistic; gloomy; dispirited; ambiguous"
湿 shi1 "moist; wet"
衡量 heng2liang5
平衡 ping2heng2 "balance; equilibrium"
酷 ku4 "ruthless; strong (e.g. of wine); hip"
欠 qian4 "to owe; to lack; (literary) to be deficient in; (bound form) yawn; to raise slightly (a part of one's body)"
笨蛋 ben4dan4 "fool; idiot"
笨重 ben4zhong4 "heavy; cumbersome; unwieldy"
铃声 ling2sheng1 "ring; ringtone; bell stroke; tintinnabulation"
铃 ling2 "(small) bell"
乌云 wu1yun2 "black cloud"
不耐烦 bu4nai4fan2
耐心 nai4xin1 "to be patient; patience"
骄傲 jiao1ao4 "pride; arrogance; conceited; proud of sth"
傲 ao4 "proud; arrogant; to despise; unyielding; to defy"
傲慢 ao4man4 "arrogant; haughty"
海洋 hai3yang2 ocean
洋 yang2 "ocean; vast; foreign; silver dollar or coin"
胸部 xiong1bu4 "chest; bosom"
信仰 xin4yang3 "to believe in (a religion); firm belief; conviction"
仰 yang3 "to face upward; to look up; to admire; to rely on"
烤肉 kao3rou4 "barbecue (lit. roast meat)"
艰苦 jian1ku3 "difficult; hard; arduous"
艰难 jian1nan2 "difficult; hard; challenging"
订 ding4 "to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order"
制订 zhi4ding4 "to work out; to formulate"
签订 qian1ding4 "to agree to and sign (a treaty etc)"
挡 dang3 "to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission)"
缺陷 que1xian4 "defect; flaw"
陷入 xian4ru4 "to sink into; to get caught up in; to land in (a predicament)"
洗澡 xi3zao3 "to bathe; to take a shower"
仪器 yi2qi4 "instrument; apparatus"
仪式 yi2shi4 ceremony
弯 wan1 "to bend; bent; a bend; a turn (in a road etc)"
转弯 zhuan3wan1 "to turn; to go around a corner"
弯曲 wan1qu1 "to bend; to curve around; curved; crooked; to wind; to warp"
邮箱 you2xiang1 "mailbox; post office box; email; email inbox"
箱 xiang1 "box; trunk; chest"
箱子 xiang1zi5 "suitcase; chest; box; case; trunk"
信箱 xin4xiang1 "mailbox; post office box"
犹豫 you2yu4 "to hesitate"
病毒 bing4du2 virus
毒 du2 "poison; to poison; poisonous; malicious; cruel; fierce; narcotics"
杀毒 sha1du2 "to disinfect; (computing) to destroy a computer virus"
消毒 xiao1du2 "to disinfect; to sterilize"
有毒 you3du2 poisonous
中毒 zhong4du2 "to be poisoned"
毒品 du2pin3 "drugs; narcotics; poison"
吸毒 xi1du2 "to take drugs"
吵 chao3 "to quarrel; to make a noise; noisy; to disturb by making a noise"
吵架 chao3jia4 "to quarrel; to have a row; quarrel"
国庆 guo2qing4 "national day"
庆祝 qing4zhu4 "to celebrate"
实惠 shi2hui4 "tangible benefit; material advantages; cheap; economical; advantageous (deal); substantial (discount)"
优惠 you1hui4 "privilege; favorable (terms); preferential (treatment); discount (price)"
暴风雨 bao4feng1yu3
暴露 bao4lu4 "to expose; to reveal; to lay bare"
暴雨 bao4yu3 "torrential rain; rainstorm"
暴力 bao4li4 "violence; force; violent"
风暴 feng1bao4 "storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)"
暴利 bao4li4 "sudden huge profits"
和谐 he2xie2 "harmonious; harmony; (euphemism) to censor"
牵 qian1 "to lead along; to pull (an animal on a tether); (bound form) to involve; to draw in"
友谊 you3yi4 "companionship; fellowship; friendship"
过敏 guo4min3 "oversensitive; allergic; allergy"
敏感 min3gan3 "sensitive; susceptible"
填空 tian2kong4 "to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)"
填 tian2 "to fill or stuff; (of a form etc) to fill in"
盐 yan2 salt
滚 gun3 "to boil; to roll; to take a hike"
蛇 she2 "snake; serpent"
脏 zang4 "viscera; (anatomy) organ"
心脏 xin1zang4 heart
心脏病 xin1zang4bing4
刷 shua1 "to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job"
刷牙 shua1ya2 "to brush one's teeth"
刷子 shua1zi5 "brush; scrub"
牙刷 ya2shua1 toothbrush
印刷 yin4shua1 "to print; printing"
边疆 bian1jiang1 "border area; borderland; frontier; frontier region"
领袖 ling3xiu4 leader
赠 zeng4 "to give as a present; to repel"
赠送 zeng4song4 "to present as a gift"
夏季 xia4ji4 summer
短裤 duan3ku4 "short pants; shorts"
牛仔裤 niu2zai3ku4
装饰 zhuang1shi4 "to decorate; decoration; decorative; ornamental"
闭幕 bi4mu4 "the curtain falls; lower the curtain; to come to an end (of a meeting)"
闭幕式 bi4mu4shi4
开幕 kai1mu4 "to open (a conference); to inaugurate"
开幕式 kai1mu4shi4
屏幕 ping2mu4 "screen (tv, computer or movie)"
鼠 shu3 "(bound form) rat; mouse"
鼠标 shu3biao1 "mouse (computing)"
挨着 ai1zhe5 near
挨 ai1 "in order; in sequence; close to; adjacent to"
挨打 ai2da3 "to take a beating; to get thrashed; to come under attack"
挨家挨户 ai1jia1ai1hu4
酸 suan1 "sour; tart; sick at heart; grieved; sore; aching; pedantic; impractical; to make sarcastic remarks about sb; an acid"
酸奶 suan1nai3 yogurt
对抗 dui4kang4 "to withstand; to resist; to stand off; antagonism; confrontation"
反抗 fan3kang4 "to resist; to rebel"
抗议 kang4yi4 "to protest; protest"
扫 sao3 "to sweep"
妙 miao4 "clever; wonderful"
奇妙 qi2miao4 "fantastic; wonderful"
巧妙 qiao3miao4 "ingenious; clever; ingenuity; artifice"
搭档 da1dang4 "to cooperate; partner"
档 dang4 "official records; grade (of goods); file; records; shelves; slot; gap; crosspiece; classifier for crosspieces; classifier for events, affairs etc"
档案 dan4gan4
高档 gao1dang4 "superior quality; high grade; top grade"
碎 sui4 "to break down; to break into pieces; fragmentary"
餐饮 can1yin3 "food and beverage; catering; repast"
饮料 yin3liao4 "drink; beverage"
饮食 yin3shi2 "eating and drinking; food and drink; diet"
灭 mie4 "to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown"
消灭 xiao1mie4 "to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory)"
住宅 zhu4zhai2 "residence; dwelling; abode"
蹲 dun1 "to crouch; to squat; to stay (somewhere)"
泉 quan2 "spring (small stream); mouth of a spring"
埋 mai2 "to bury"
扶 fu2 "to support with the hand; to help sb up; to support oneself by holding onto something; to help"
模糊 mo2hu5 "vague; indistinct; fuzzy"
帅 shuai4 "(bound form) commander-in-chief; (bound form) to lead; to command; handsome; graceful; dashing; elegant; (chinese chess) general (on the red side, equivalent to a king in western chess)"
帅哥 shuai4ge1 "handsome guy; lady-killer; handsome (form of address)"
钻 zuan1 "to drill; to bore; to get into; to make one's way into; to enter (a hole); to thread one's way through; to study intensively; to dig into; to curry favor for personal gain"
遵守 zun1shou3 "to comply with; to abide by; to respect (an agreement)"
愁 chou2 "to worry about"
真诚 zhen1cheng2 "sincere; genuine; true"
机械 ji1xie4 "machine; machinery; mechanical; scheming"
探索 tan4suo3 "to explore; to probe"
探讨 tan4tao3 "to investigate; to probe"
寸 cun4 "a unit of length; inch; thumb"
传递 chuan2di4 "to transmit; to pass on to sb else; (math.) transitive"
递 di4 "to hand over; to pass on; to deliver; (bound form) progressively; in the proper order"
递给 di4gei3 "to hand it (i.e. the aforementioned item) to (sb)"
吊 diao4 "to suspend; to hang up; to hang a person; a string of 100 cash (arch.); to lament; to condole with"
植物 zhi2wu4 "plant; vegetation"
种植 zhong4zhi2 "to plant; to grow (a crop); to cultivate"
丑 chou3 "clown; shameful; ugly; disgraceful"
挣钱 zheng4qian2 "to make money"
挣 zheng1
脾气 pi2qi5 "character; temperament; disposition; bad temper"
染 ran3 "to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add color washes to a painting"
委托 wei3tuo1 "to entrust; to trust; to commission"
奔跑 ben1pao3 "to run"
奔赴 ben1fu4 "to rush to; to hurry to"
奔波 ben1bo1 "to rush about; to be constantly on the move"
奔 ben1 "to hurry; to rush; to run quickly; to elope"
斜 xie2 "inclined; slanting; oblique; tilting"
原谅 yuan2liang4 "to excuse; to forgive; to pardon"
伴 ban4 "partner; companion; comrade; associate; to accompany"
伴随 ban4sui2 "to accompany; to follow; to occur together with; concomitant"
自豪 zi4hao2 "proud (of one's achievements etc)"
傍晚 bang4wan3 "in the evening; when night falls; towards evening; at night fall; at dusk"
虚心 xu1xin1 "open-minded; humble"
大熊猫 da4xiong2mao1
熊 xiong2 "bear; (coll.) to scold; to rebuke; (coll.) weak; incapable"
污水 wu1shui3 sewage
污染 wu1ran3 "to pollute; to contaminate (lit. and fig.)"
贫困 pin2kun4 "impoverished; poverty"
扑 pu1 "to throw oneself at; to pounce on; to devote one's energies; to flap; to flutter; to dab; to pat; to bend over"
徒弟 tu2di5
上涨 shang4zhang3 "to rise; to go up"
涨 zhang3 "to rise (of prices, rivers)"
涨价 zhang3jia4 "to appreciate (in value); to increase in price"
涨 zhang3 "to rise (of prices, rivers)"
幽默 you1mo4 humorous
泥 ni2 "mud; clay; paste; pulp"
水泥 shui3ni2 cement
渠道 qu2dao4 "irrigation ditch; (fig.) channel; means"
残疾 can2ji5
残疾人 can2ji2ren2
残酷 can2ku4 "cruel; cruelty"
枝 zhi1 "branch; classifier for sticks, rods, pencils etc"
卧室 wo4shi4 bedroom
卧铺 wo4pu4 "a bed (on a train); a couchette"
发射 fa1she4 "to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission"
射 she4 "to shoot; to launch; to allude to; radio- (chemistry)"
射击 she4ji1 "to shoot; to fire (a gun)"
注射 zhu4she4 "injection; to inject"
安宁 an1ning2 "peaceful; tranquil; calm; composed; free from worry"
摔倒 shuai1dao3 "to fall down; to slip and fall; to throw sb to the ground"
摔 shuai1 "to throw down; to fall; to drop and break"
酸甜苦辣 suan1tian2ku3la4
拆除 chai1chu2 "to tear down; to demolish; to dismantle; to remove"
拆 chai1 "to tear open; to tear down; to tear apart; to open"
刮 gua1 "to scrape; to blow; to shave; to plunder; to extort; to blow (of the wind)"
爽 shuang3 "bright; clear; crisp; open; frank; straightforward; to feel well; fine; pleasurable; invigorating; to deviate"
节奏 jie2zou4 "rhythm; tempo; musical pulse; cadence; beat"
演奏 yan3zou4 "to perform on a musical instrument"
奏 zou4 "to play music; to achieve"
伴奏 ban4zou4 "to accompany (musically)"
扮演 ban4yan3 "to play the role of; to act"
打扮 da3ban5 "to decorate; to dress; to make up; to adorn; manner of dressing; style of dress"
扮 ban4 "to disguise oneself as; to dress up; to play (a role); to put on (an expression)"
狠 hen3 "ruthless; fierce; ferocious; determined; to harden (one's heart)"
预订 yu4ding4 "to place an order; to book ahead"
预测 yu4ce4 "to forecast; to predict"
干预 gan1yu4 "to meddle; to intervene; intervention"
预备 yu4bei4 "to prepare; to make ready; preparation; preparatory"
预期 yu4qi1 "to expect; to anticipate"
预约 yu4yue1 "booking; reservation; to book; to make an appointment"
钢琴 gang1qin2 piano
钢笔 gang1bi3 "fountain pen"
撑 cheng1 "to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support"
支撑 zhi1cheng5
盛行 sheng4xing2 "to be in vogue; to be popular; to be prevalent"
焦点 jiao1dian3 "focal point; focus (lit. and fig.)"
暑假 shu3jia4 "summer vacation"
避暑 bi4shu3 "to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke"
舞蹈 wu3dao3 "dance (performance art); dancing"
途中 tu2zhong1 "en route"
用途 yong4tu2 "use; application"
田径 tian2jing4 "track and field (athletics)"
途径 tu2jing4 "way; means; channel"
尖 jian1 "pointed; tapering; sharp; (of a sound) shrill; piercing; (of one's hearing, sight etc) sharp; acute; keen; to make (one's voice) shrill; sharp point; tip; the best of sth; the cream of the crop"
娃娃 wa2wa5 "baby; small child; doll"
珍贵 zhen1gui4 precious
珍珠 zhen1zhu1 pearl
珍惜 zhen1xi1 "to treasure; to value; to cherish"
袖珍 xiu4zhen1 "pocket-sized; pocket (book etc)"
添 tian1 "to add; to increase; to replenish"
弱 ruo4 "weak; feeble; young; inferior; not as good as; (following a decimal or fraction) slightly less than"
薄弱 bo2ruo4 "weak; frail"
侧 ce4 "the side; to incline towards; to lean; inclined; lateral; side"
两侧 liang3ce4 "two sides; both sides"
晒 shai4 "(of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (coll.) to give the cold shoulder to"
赔 pei2 "to compensate for loss; to indemnify; to suffer a financial loss"
补偿 bu3chang2 "to compensate; to make up"
赔偿 pei2chang2 "to compensate"
跌 die1 "to fall; to tumble; to trip; (of prices etc) to drop"
跪 gui4 "to kneel"
劳动 lao2dong5
驾照 jia4zhao4 "driver's license"
驾驶 jia4shi3 "to pilot (ship, airplane etc); to drive"
行驶 xing2shi3 "to travel along a route (of vehicles etc)"
摘 zhai1 "to take; to borrow; to pick (flowers, fruit etc); to pluck; to select; to remove; to take off (glasses, hat etc)"
岗位 gang3wei4 "a post; a job"
磨 mo2 "to rub; to grind; to polish; to sharpen; to wear down; to die out; to waste time; to pester; to insist"
违法 wei2fa3 "illegal; to break the law"
违反 wei2fan3 "to violate (a law)"
违规 wei2gui1 "to violate (rules); irregular; illegal; corrupt"
栏目 lan2mu4 "regular column or segment (in a publication or broadcast program); program (tv or radio)"
捡 jian3 "to pick up; to collect; to gather"
蔬菜 shu1cai4 vegetables
兴旺 xing1wang4 "prosperous; thriving; to prosper; to flourish"
诞生 dan4sheng1 "to be born"
圣诞节 sheng4dan4jie2
饼干 bing3gan1 "biscuit; cracker; cookie"
饼 bing3 "round flat cake; cookie; cake; pastry"
月饼 yue4bing5
悲伤 bei1shang1 "sad; sorrowful"
悲剧 bei1ju4 tragedy
悲观 bei1guan1 pessimistic
悲欢离合 bei1huan1li2he2
悲痛 bei1tong4 "grieved; sorrowful"
艾滋病 ai4zi1bing4
脸盆 lian3pen2 "washbowl; basin for washing hands and face"
盆 pen2 "basin; flower pot"
戒 jie4 "to guard against; to exhort; to admonish or warn; to give up or stop doing sth; ring (for a finger)"
豆制品 dou4zhi4pin3
土豆 tu3dou4
拐 guai3 "to turn (a corner etc); to kidnap; to swindle; to misappropriate; cane; walking stick; crutch; old man's staff"
杆 gan1 pole
冻 dong4 "to freeze; to feel very cold; aspic or jelly"
礼貌 li3mao4 "courtesy; politeness; manners; courteous; polite"
面貌 mian4mao4 "face; features; appearance; look"
匹 pi3 "classifier for horses, mules etc; ordinary person; classifier for cloth: bolt; horsepower; classifier for cloth: bolt"
隔壁 ge2bi4 "next door; neighbor"
墙壁 qiang2bi4 wall
壁画 bi4hua4 "mural (painting); fresco"
绑 bang3 "to tie; bind or fasten together; to kidnap"
绑架 bang3jia4 "to kidnap; to abduct; to hijack; a kidnapping; abduction; staking"
鲜 xian1 "fresh; bright (in color); delicious; tasty; delicacy; aquatic foods; fish"
鲜花 xian1hua1 "flower; fresh flowers"
鲜明 xian1ming2 "bright; clear-cut; distinct"
新鲜 xin1xian5
鲜艳 xian1yan4 "bright-colored; gaily-colored"
保鲜 bao3xian1 "to keep fresh"
活跃 huo2yue4 "active; lively; excited; to enliven; to brighten up"
阻止 zu3zhi3 "to prevent; to block"
歇 xie1 "to rest; to take a break; to stop; to halt; a moment; a short while"
悲惨 bei1can3 "miserable; tragic"
惨 can3 "miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy"
兄弟 xiong1di5
村庄 cun1zhuang1 "village; hamlet"
押金 ya1jin1 "deposit; down payment"
抱歉 bao4qian4 "to be sorry; to feel apologetic"
道歉 dao4qian4 "to apologize"
扁 bian3 "flat; (coll.) to beat (sb) up"
倾向 qing1xiang4 "trend; tendency; orientation"
跨 kua4 "to step across; to stride over; to straddle; to span"
同胞 tong2bao1 "born of the same parents; sibling; fellow citizen; compatriot"
细胞 xi4bao1 "cell (biology)"
辞典 ci2dian3
辞职 ci2zhi2 "to resign"
报刊 bao4kan1 "newspapers and periodicals; the press"
衬衣 chen4yi1 shirt
衬衫 chen4shan1 "shirt; blouse"
哀求 ai1qiu2 "to entreat; to implore; to plead"
悲哀 bei1ai1 "grieved; sorrowful"
光辉 guang1hui1 "radiance; glory; brilliant; magnificent"
拔 ba2 "to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize"
选拔 xuan3ba2 "to select the best"
推迟 tui1chi2 "to postpone; to put off; to defer"
迟 chi2 "late; delayed; slow"
粥 zhou1 "congee; gruel; porridge"
尊敬 zun1jing4 "to respect; to revere; to esteem; honorable; distinguished (used on formal occasions before a term of address)"
漏洞 lou4dong4 "leak; hole; gap; loophole"
漏 lou4 "to leak; to divulge; to leave out by mistake"
篮球 lan2qiu2 basketball
辅助 fu3zhu4 "to assist; to aid; supplementary; auxiliary"
崇拜 chong2bai4 "to worship; adoration"
地震 di4zhen4 earthquake
震惊 zhen4jing1 "to shock; to astonish"
报亭 bao4ting2 "kiosk; newsstand"
凶手 xiong1shou3 "murderer; assassin"
凶 xiong1 "terrible; fearful; vicious; fierce; ominous; inauspicious; famine"
国旗 guo2qi2 "flag (of a country)"
排行榜 pai2hang2bang3
榜样 bang3yang4 "example; model"
标榜 biao1bang3 "to flaunt; to advertise; to parade; boost; excessive praise"
担忧 dan1you1 "to worry; to be concerned"
裁判 cai2pan4 "judgment; to referee; umpire; judge; referee"
总裁 zong3cai2 "chairman; director-general (of a company etc)"
赌 du3 "to bet; to gamble"
赌博 du3bo2 "to gamble"
大胆 da4dan3 "brazen; audacious; outrageous; bold; daring; fearless"
胆小 dan3xiao3 "cowardice; timid"
胆 dan3 "gall bladder; courage; guts; gall; inner container (e.g. bladder of a football, inner container of a thermos)"
沙漠 sha1mo4 desert
伞 san3 "umbrella; parasol; damask silk"
剪 jian3 "scissors; shears; clippers; to cut with scissors; to trim; to wipe out or exterminate"
剪刀 jian3dao1 scissors
剪子 jian3zi5 "clippers; scissors; shears"
隐私 yin3si1 "secrets; private business; privacy"
隐藏 yin3cang2 "to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting)"
蛋糕 dan4gao1 cake
毁 hui3 "to destroy; to ruin; to defame; to slander; to destroy by fire; to defame; to slander"
欺负 qi1fu5 "to bully"
处罚 chu3fa2 "to penalize; to punish"
罚 fa2 "to punish; to penalize"
罚款 fa2kuan3 "to fine; penalty; fine (monetary)"
光荣 guang1rong2 "honor and glory; glorious"
名誉 ming2yu4 "fame; reputation; honor; honorary; emeritus (of retired professor)"
懒 lan3 lazy
猴 hou2 monkey
捐 juan1 "to relinquish; to abandon; to contribute; to donate; (bound form) tax; levy"
捐款 juan1kuan3 "to donate money; to contribute funds; donation; contribution (of money)"
捐赠 juan1zeng4 "to contribute (as a gift); to donate; benefaction"
捐助 juan1zhu4 "to donate; to offer (aid); contribution; donation"
烤鸭 kao3ya1 "roast duck"
鸭子 ya1zi5 "duck; male prostitute (slang)"
火灾 huo3zai1 "serious fire (in a city or a forest etc)"
救灾 jiu4zai1 "to relieve disaster; to help disaster victims"
受灾 shou4zai1 "disaster-stricken; to be hit by a natural calamity"
水灾 shui3zai1 "flood; flood damage"
灾 zai1 "disaster; calamity"
灾害 zai1hai4 "calamity; disaster"
灾区 zai1qu1 "disaster area; stricken region"
灾难 zai1nan4 "disaster; catastrophe"
抱怨 bao4yuan5
怨 yuan4 "to blame; to complain"
缩短 suo1duan3 "to curtail; to cut down"
缩小 suo1xiao3 "to reduce; to decrease; to shrink"
活泼 huo2po5 "lively; vivacious; brisk; active; (chemistry) reactive"
泼 po1 "to splash; to spill; rough and coarse; brutish"
赞成 zan4cheng2 "to approve; to endorse; (literary) to assist"
赞赏 zan4shang3 "to admire; to praise; to appreciate"
赞助 zan4zhu4 "to support; to assist; to sponsor"
睡眠 shui4mian2 "sleep; to sleep; (computing) to enter sleep mode"
安眠药 an1mian2yao4
一律 yi1lü4 "same; uniformly; all; without exception"
抵达 di3da2 "to arrive; to reach (a destination)"
抵抗 di3kang4 "to resist; resistance"
揭 jie1 "to take the lid off; to expose; to unmask"
墨水 mo4shui3 ink
症状 zheng4zhuang4 "symptom (of an illness)"
胃 wei4 stomach
兔 tu4 rabbit
昏 hun1 "muddle-headed; twilight; to faint; to lose consciousness"
池子 chi2zi5 "pond; bathhouse pool; dance floor of a ballroom"
电池 dian4chi2 battery
游泳池 you2yong3chi2
洪水 hong2shui3 "deluge; flood"
坡 po1 "slope; sloping; slanted"
山坡 shan1po1 hillside
